wavelength, flux
   240, 0.000e+00
   260, 2.725e-18
   280, 5.448e-18
   300, 8.178e-18
   320, 1.090e-17
   340, 1.362e-17
   360, 1.635e-17
   380, 1.908e-17
   400, 2.181e-17
   420, 2.451e-17
   440, 2.725e-17
   460, 2.997e-17
   480, 3.271e-17
   500, 3.543e-17
   520, 3.814e-17
   540, 4.087e-17
   560, 4.359e-17
   580, 4.633e-17
   600, 4.905e-17
   620, 5.179e-17
   640, 5.448e-17
   660, 5.720e-17
   680, 5.996e-17
   700, 6.267e-17
   720, 6.538e-17
   740, 6.814e-17
   760, 7.083e-17
   780, 7.356e-17
   800, 7.632e-17
   820, 7.904e-17
   840, 8.178e-17
   860, 8.446e-17
   880, 8.722e-17
   900, 8.991e-17
   920, 9.269e-17
   940, 9.537e-17
   960, 9.814e-17
   980, 1.008e-16
  1000, 1.035e-16
  1020, 1.063e-16
  1040, 1.090e-16
  1060, 1.117e-16
  1080, 1.145e-16
  1100, 1.172e-16
  1120, 1.200e-16
  1140, 1.226e-16
  1160, 1.254e-16
  1180, 1.281e-16
  1200, 1.308e-16
  1220, 1.335e-16
  1240, 1.362e-16
  1260, 1.390e-16
  1280, 1.417e-16
  1300, 1.445e-16
  1320, 1.472e-16
  1340, 1.499e-16
  1360, 1.526e-16
  1380, 1.554e-16
  1400, 1.580e-16
  1420, 1.608e-16
  1440, 1.635e-16
  1460, 1.662e-16
  1480, 1.690e-16
  1500, 1.716e-16
  1520, 1.744e-16
  1540, 1.771e-16
  1560, 1.799e-16
  1580, 1.826e-16
  1600, 1.853e-16
  1620, 1.880e-16
  1640, 1.908e-16
  1660, 1.935e-16
  1680, 1.962e-16
  1700, 1.989e-16
  1720, 2.017e-16
  1740, 2.045e-16
  1760, 2.071e-16
  1780, 2.098e-16
  1800, 2.125e-16
  1820, 2.153e-16
  1840, 2.181e-16
  1860, 2.207e-16
  1880, 2.234e-16
  1900, 2.263e-16
  1920, 2.290e-16
  1940, 2.315e-16
  1960, 2.343e-16
  1980, 2.372e-16
  2000, 2.398e-16
  2020, 2.425e-16
  2040, 2.451e-16
  2060, 2.479e-16
  2080, 2.506e-16
  2100, 3.422e-16
  2120, 4.536e-16
  2140, 5.203e-16
  2160, 5.752e-16
  2180, 5.963e-16
  2200, 6.526e-16
  2220, 6.948e-16
  2240, 8.516e-16
  2260, 6.973e-16
  2280, 6.746e-16
  2300, 8.047e-16
  2320, 8.492e-16
  2340, 7.731e-16
  2360, 9.056e-16
  2380, 8.961e-16
  2400, 7.767e-16
  2420, 1.207e-15
  2440, 1.152e-15
  2460, 1.162e-15
  2480, 1.082e-15
  2500, 1.027e-15
  2520, 1.037e-15
  2540, 1.347e-15
  2560, 1.910e-15
  2580, 2.402e-15
  2600, 2.214e-15
  2620, 2.553e-15
  2640, 3.971e-15
  2660, 4.580e-15
  2680, 4.697e-15
  2700, 4.873e-15
  2720, 4.241e-15
  2740, 3.478e-15
  2760, 5.251e-15
  2780, 3.912e-15
  2800, 3.046e-15
  2820, 6.808e-15
  2840, 5.117e-15
  2860, 7.064e-15
  2880, 7.992e-15
  2900, 1.331e-14
  2920, 1.409e-14
  2940, 1.351e-14
  2960, 1.271e-14
  2980, 1.134e-14
  3000, 1.085e-14
  3020, 1.241e-14
  3040, 1.509e-14
  3060, 1.647e-14
  3080, 1.794e-14
  3100, 1.991e-14
  3120, 2.189e-14
  3140, 2.169e-14
  3160, 2.269e-14
  3180, 2.534e-14
  3200, 2.425e-14
  3220, 2.199e-14
  3240, 2.830e-14
  3260, 3.570e-14
  3280, 3.738e-14
  3300, 3.846e-14
  3320, 3.766e-14
  3340, 3.450e-14
  3360, 3.019e-14
  3380, 3.313e-14
  3400, 3.818e-14
  3420, 3.825e-14
  3440, 3.422e-14
  3460, 3.589e-14
  3480, 3.680e-14
  3500, 3.947e-14
  3520, 3.807e-14
  3540, 4.202e-14
  3560, 3.589e-14
  3580, 2.593e-14
  3600, 5.565e-14
  3650, 6.118e-14
  3700, 6.678e-14
  3750, 6.118e-14
  3800, 6.678e-14
  3850, 5.010e-14
  3900, 8.345e-14
  3950, 6.678e-14
  4000, 1.279e-13
  4050, 1.391e-13
  4100, 1.446e-13
  4150, 1.781e-13
  4200, 1.558e-13
  4250, 1.391e-13
  4300, 1.502e-13
  4350, 1.947e-13
  4400, 2.171e-13
  4450, 2.560e-13
  4500, 3.005e-13
  4550, 3.283e-13
  4600, 3.560e-13
  4650, 3.505e-13
  4700, 3.616e-13
  4750, 3.229e-13
  4800, 2.950e-13
  4850, 3.229e-13
  4900, 3.896e-13
  4950, 3.616e-13
  5000, 3.450e-13
  5050, 3.505e-13
  5100, 3.560e-13
  5150, 3.450e-13
  5200, 3.673e-13
  5250, 4.676e-13
  5300, 5.453e-13
  5350, 5.843e-13
  5400, 6.175e-13
  5450, 5.678e-13
  5500, 5.565e-13
  5550, 5.897e-13
  5600, 5.789e-13
  5650, 6.012e-13
  5700, 6.623e-13
  5750, 6.954e-13
  5800, 7.012e-13
  5850, 6.118e-13
  5900, 4.339e-13
  5950, 5.398e-13
  6000, 6.508e-13
  6050, 7.235e-13
  6100, 6.954e-13
  6150, 6.401e-13
  6200, 5.678e-13
  6250, 5.010e-13
  6300, 6.342e-13
  6350, 7.288e-13
  6400, 7.625e-13
  6450, 8.238e-13
  6500, 9.016e-13
  6550, 1.057e-12
  6600, 1.041e-12
  6650, 8.571e-13
  6700, 7.513e-13
  6750, 7.070e-13
  6800, 7.788e-13
  6850, 8.795e-13
  6900, 9.742e-13
  6950, 1.068e-12
  7000, 1.135e-12
  7050, 1.046e-12
  7100, 9.066e-13
  7150, 8.238e-13
  7200, 9.459e-13
  7250, 1.140e-12
  7300, 1.352e-12
  7350, 1.558e-12
  7400, 1.592e-12
  7450, 1.597e-12
  7500, 1.597e-12
  7550, 1.592e-12
  7600, 1.580e-12
  7650, 1.574e-12
  7700, 1.574e-12
  7750, 1.580e-12
  7800, 1.592e-12
  7850, 1.620e-12
  7900, 1.647e-12
  7950, 1.659e-12
  8000, 1.674e-12
  8050, 1.680e-12
  8100, 1.691e-12
  8150, 1.702e-12
  8200, 1.709e-12
  8250, 1.724e-12
  8300, 1.747e-12
  8350, 1.792e-12
  8400, 1.826e-12
  8450, 1.836e-12
  8500, 1.781e-12
  8550, 1.736e-12
  8600, 1.870e-12
  8650, 1.781e-12
  8700, 1.875e-12
  8750, 1.875e-12
  8800, 1.870e-12
  8850, 1.843e-12
  8900, 1.809e-12
  8950, 1.797e-12
  9000, 1.814e-12
  9050, 1.858e-12
  9100, 1.903e-12
  9150, 1.931e-12
  9200, 1.947e-12
  9250, 1.942e-12
  9300, 1.937e-12
  9350, 1.931e-12
  9400, 1.921e-12
  9450, 1.908e-12
  9500, 1.903e-12
  9550, 1.892e-12
  9600, 1.887e-12
  9650, 1.875e-12
  9700, 1.870e-12
  9750, 1.858e-12
  9800, 1.853e-12
  9850, 1.843e-12
  9900, 1.836e-12
  9950, 1.826e-12
 10000, 1.819e-12
 12500, 1.038e-12
 22000, 2.728e-13
 34000, 6.808e-14
