wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,   2.868E-21
          940.,   9.691E-21
          962.,   2.063E-20
          987.,   4.627E-20
         1012.,   9.418E-20
         1037.,   1.772E-19
         1062.,   3.431E-19
         1087.,   6.385E-19
         1112.,   1.045E-17
         1120.,   1.286E-17
         1140.,   1.861E-17
         1160.,   2.941E-17
         1180.,   4.247E-17
         1200.,   5.970E-17
         1220.,   8.825E-17
         1240.,   1.346E-16
         1260.,   1.933E-16
         1280.,   2.647E-16
         1300.,   3.662E-16
         1320.,   4.862E-16
         1340.,   6.272E-16
         1360.,   8.149E-16
         1380.,   1.076E-15
         1400.,   1.418E-15
         1420.,   1.846E-15
         1440.,   2.400E-15
         1460.,   3.128E-15
         1480.,   3.996E-15
         1500.,   5.182E-15
         1520.,   4.216E-14
         1540.,   7.578E-14
         1560.,   7.885E-14
         1580.,   1.009E-13
         1600.,   1.307E-13
         1620.,   1.605E-13
         1640.,   1.869E-13
         1660.,   2.045E-13
         1680.,   2.629E-12
         1700.,   4.009E-12
         1720.,   5.004E-12
         1740.,   6.596E-12
         1760.,   6.499E-12
         1780.,   9.004E-12
         1800.,   8.532E-12
         1820.,   6.930E-12
         1840.,   7.214E-12
         1860.,   9.282E-12
         1880.,   1.070E-11
         1900.,   1.249E-11
         1920.,   1.494E-11
         1940.,   1.325E-11
         1960.,   1.338E-11
         1980.,   1.890E-11
         2000.,   1.985E-11
         2002.,   2.096E-11
         2005.,   2.601E-11
         2008.,   2.778E-11
         2010.,   2.870E-11
         2012.,   2.893E-11
         2015.,   2.905E-11
         2018.,   2.857E-11
         2020.,   2.840E-11
         2022.,   2.848E-11
         2025.,   2.847E-11
         2027.,   2.845E-11
         2030.,   2.966E-11
         2032.,   3.152E-11
         2035.,   3.464E-11
         2038.,   3.667E-11
         2040.,   3.797E-11
         2042.,   3.886E-11
         2045.,   3.935E-11
         2048.,   4.011E-11
         2050.,   4.070E-11
         2052.,   4.087E-11
         2055.,   4.088E-11
         2058.,   4.043E-11
         2060.,   4.106E-11
         2062.,   4.235E-11
         2065.,   4.478E-11
         2067.,   4.722E-11
         2070.,   4.828E-11
         2072.,   4.965E-11
         2075.,   5.167E-11
         2077.,   5.432E-11
         2080.,   5.726E-11
         2082.,   6.103E-11
         2085.,   6.534E-11
         2088.,   6.505E-11
         2090.,   6.546E-11
         2092.,   6.693E-11
         2095.,   6.801E-11
         2098.,   6.827E-11
         2100.,   6.854E-11
         2102.,   6.749E-11
         2105.,   7.436E-11
         2107.,   7.187E-11
         2110.,   7.023E-11
         2112.,   7.572E-11
         2115.,   8.375E-11
         2118.,   9.534E-11
         2120.,   9.351E-11
         2122.,   7.417E-11
         2125.,   6.759E-11
         2128.,   7.762E-11
         2130.,   8.023E-11
         2133.,   7.786E-11
         2135.,   7.939E-11
         2138.,   8.338E-11
         2140.,   9.295E-11
         2142.,   1.075E-10
         2145.,   1.088E-10
         2147.,   9.961E-11
         2150.,   9.762E-11
         2153.,   1.005E-10
         2155.,   9.604E-11
         2157.,   8.326E-11
         2160.,   8.529E-11
         2162.,   9.422E-11
         2165.,   8.518E-11
         2168.,   7.633E-11
         2170.,   8.227E-11
         2173.,   8.623E-11
         2175.,   8.333E-11
         2177.,   9.420E-11
         2180.,   1.178E-10
         2182.,   1.243E-10
         2185.,   1.101E-10
         2187.,   9.897E-11
         2190.,   1.058E-10
         2193.,   1.190E-10
         2195.,   1.209E-10
         2198.,   1.191E-10
         2200.,   1.227E-10
         2202.,   1.324E-10
         2205.,   1.278E-10
         2208.,   1.014E-10
         2210.,   8.655E-11
         2213.,   9.379E-11
         2215.,   9.643E-11
         2218.,   9.816E-11
         2220.,   1.161E-10
         2222.,   1.269E-10
         2225.,   1.223E-10
         2227.,   1.211E-10
         2230.,   1.330E-10
         2233.,   1.599E-10
         2235.,   1.741E-10
         2237.,   1.607E-10
         2240.,   1.453E-10
         2242.,   1.342E-10
         2245.,   1.379E-10
         2248.,   1.479E-10
         2250.,   1.408E-10
         2253.,   1.304E-10
         2255.,   1.253E-10
         2257.,   1.221E-10
         2260.,   1.178E-10
         2262.,   1.082E-10
         2265.,   9.397E-11
         2267.,   8.289E-11
         2270.,   8.039E-11
         2273.,   8.561E-11
         2275.,   9.409E-11
         2277.,   1.050E-10
         2280.,   1.221E-10
         2282.,   1.342E-10
         2285.,   1.299E-10
         2288.,   1.185E-10
         2290.,   1.133E-10
         2293.,   1.179E-10
         2295.,   1.189E-10
         2298.,   1.056E-10
         2300.,   9.954E-11
         2302.,   1.137E-10
         2305.,   1.382E-10
         2307.,   1.426E-10
         2310.,   1.146E-10
         2313.,   1.030E-10
         2315.,   1.206E-10
         2317.,   1.246E-10
         2320.,   1.192E-10
         2322.,   1.305E-10
         2325.,   1.298E-10
         2327.,   1.189E-10
         2330.,   1.130E-10
         2333.,   1.076E-10
         2335.,   1.088E-10
         2337.,   1.014E-10
         2340.,   9.610E-11
         2342.,   8.946E-11
         2345.,   8.012E-11
         2347.,   8.975E-11
         2350.,   1.141E-10
         2353.,   1.306E-10
         2355.,   1.332E-10
         2357.,   1.245E-10
         2360.,   1.110E-10
         2362.,   1.094E-10
         2365.,   1.078E-10
         2368.,   1.108E-10
         2370.,   1.257E-10
         2373.,   1.236E-10
         2375.,   1.169E-10
         2377.,   1.141E-10
         2380.,   9.375E-11
         2383.,   8.270E-11
         2385.,   9.531E-11
         2387.,   1.053E-10
         2390.,   1.152E-10
         2393.,   1.155E-10
         2395.,   9.777E-11
         2397.,   9.236E-11
         2400.,   1.018E-10
         2403.,   1.043E-10
         2405.,   8.686E-11
         2407.,   9.245E-11
         2410.,   9.153E-11
         2413.,   9.317E-11
         2415.,   1.144E-10
         2417.,   1.393E-10
         2420.,   1.590E-10
         2423.,   1.624E-10
         2425.,   1.574E-10
         2427.,   1.646E-10
         2430.,   1.598E-10
         2433.,   1.501E-10
         2435.,   1.400E-10
         2437.,   1.423E-10
         2440.,   1.497E-10
         2443.,   1.543E-10
         2445.,   1.428E-10
         2448.,   1.268E-10
         2450.,   1.158E-10
         2452.,   1.105E-10
         2455.,   1.125E-10
         2457.,   1.168E-10
         2460.,   1.116E-10
         2463.,   1.041E-10
         2465.,   1.123E-10
         2467.,   1.230E-10
         2470.,   1.267E-10
         2473.,   1.263E-10
         2475.,   1.328E-10
         2477.,   1.257E-10
         2480.,   1.160E-10
         2483.,   1.036E-10
         2485.,   1.013E-10
         2487.,   9.756E-11
         2490.,   8.549E-11
         2493.,   1.113E-10
         2495.,   1.430E-10
         2497.,   1.484E-10
         2500.,   1.403E-10
         2502.,   1.371E-10
         2505.,   1.256E-10
         2507.,   1.222E-10
         2510.,   1.277E-10
         2513.,   1.106E-10
         2515.,   9.217E-11
         2518.,   9.192E-11
         2520.,   1.002E-10
         2522.,   9.572E-11
         2525.,   9.628E-11
         2527.,   9.446E-11
         2530.,   1.035E-10
         2532.,   1.211E-10
         2535.,   1.218E-10
         2538.,   1.221E-10
         2540.,   1.270E-10
         2542.,   1.339E-10
         2545.,   1.369E-10
         2548.,   1.286E-10
         2550.,   1.432E-10
         2552.,   1.803E-10
         2555.,   1.889E-10
         2558.,   1.912E-10
         2560.,   2.011E-10
         2562.,   1.843E-10
         2565.,   2.067E-10
         2567.,   2.572E-10
         2570.,   2.869E-10
         2573.,   2.897E-10
         2575.,   2.359E-10
         2577.,   2.469E-10
         2580.,   3.292E-10
         2582.,   3.107E-10
         2585.,   2.250E-10
         2587.,   2.542E-10
         2590.,   3.146E-10
         2593.,   2.614E-10
         2595.,   2.276E-10
         2598.,   1.804E-10
         2600.,   1.663E-10
         2602.,   2.258E-10
         2605.,   2.045E-10
         2607.,   1.792E-10
         2610.,   1.894E-10
         2612.,   1.660E-10
         2615.,   1.964E-10
         2618.,   2.286E-10
         2620.,   2.461E-10
         2622.,   2.606E-10
         2625.,   2.456E-10
         2627.,   2.121E-10
         2630.,   1.899E-10
         2633.,   2.227E-10
         2635.,   3.307E-10
         2638.,   4.557E-10
         2640.,   5.368E-10
         2642.,   5.774E-10
         2645.,   5.829E-10
         2647.,   4.825E-10
         2650.,   4.342E-10
         2652.,   5.082E-10
         2655.,   5.904E-10
         2657.,   5.848E-10
         2660.,   5.429E-10
         2662.,   4.996E-10
         2665.,   5.018E-10
         2667.,   5.105E-10
         2670.,   5.090E-10
         2673.,   5.129E-10
         2675.,   5.682E-10
         2677.,   5.208E-10
         2680.,   5.023E-10
         2682.,   5.160E-10
         2685.,   5.215E-10
         2687.,   4.976E-10
         2690.,   4.718E-10
         2692.,   4.974E-10
         2695.,   4.675E-10
         2698.,   4.883E-10
         2700.,   5.649E-10
         2702.,   5.931E-10
         2705.,   5.928E-10
         2707.,   5.471E-10
         2710.,   5.267E-10
         2713.,   5.224E-10
         2715.,   4.731E-10
         2718.,   3.879E-10
         2720.,   3.222E-10
         2722.,   3.661E-10
         2725.,   4.005E-10
         2727.,   4.740E-10
         2730.,   5.356E-10
         2732.,   4.672E-10
         2735.,   3.849E-10
         2737.,   3.239E-10
         2740.,   2.842E-10
         2742.,   2.644E-10
         2745.,   2.715E-10
         2747.,   2.605E-10
         2750.,   2.986E-10
         2753.,   3.670E-10
         2755.,   3.378E-10
         2758.,   4.327E-10
         2760.,   5.036E-10
         2762.,   4.906E-10
         2765.,   5.274E-10
         2767.,   5.002E-10
         2770.,   4.976E-10
         2772.,   5.294E-10
         2775.,   4.981E-10
         2778.,   4.115E-10
         2780.,   3.528E-10
         2782.,   3.427E-10
         2785.,   3.452E-10
         2787.,   3.080E-10
         2790.,   2.367E-10
         2793.,   1.860E-10
         2795.,   1.653E-10
         2798.,   1.548E-10
         2800.,   1.600E-10
         2802.,   1.697E-10
         2805.,   1.964E-10
         2807.,   2.693E-10
         2810.,   3.321E-10
         2812.,   3.903E-10
         2815.,   4.608E-10
         2817.,   5.054E-10
         2820.,   5.499E-10
         2823.,   5.850E-10
         2825.,   6.009E-10
         2827.,   6.027E-10
         2830.,   6.567E-10
         2833.,   6.652E-10
         2835.,   6.188E-10
         2838.,   6.200E-10
         2840.,   6.449E-10
         2842.,   5.775E-10
         2845.,   5.035E-10
         2847.,   3.749E-10
         2850.,   2.213E-10
         2852.,   1.877E-10
         2855.,   2.898E-10
         2858.,   4.457E-10
         2860.,   6.043E-10
         2862.,   6.780E-10
         2865.,   6.999E-10
         2867.,   6.625E-10
         2870.,   7.027E-10
         2873.,   7.803E-10
         2875.,   7.167E-10
         2878.,   6.305E-10
         2880.,   4.478E-10
         2883.,   4.786E-10
         2885.,   7.200E-10
         2887.,   7.945E-10
         2890.,   7.922E-10
         2892.,   8.192E-10
         2895.,   9.251E-10
         2898.,    1.049E-9
         2900.,    1.159E-9
         2903.,    1.215E-9
         2905.,    1.210E-9
         2907.,    1.129E-9
         2910.,    1.136E-9
         2913.,    1.180E-9
         2915.,    1.096E-9
         2918.,    1.068E-9
         2920.,    1.088E-9
         2923.,    1.007E-9
         2925.,   9.122E-10
         2927.,   9.325E-10
         2930.,    1.109E-9
         2932.,    1.194E-9
         2935.,    1.065E-9
