wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,   3.723E-21
          940.,   1.258E-20
          962.,   2.678E-20
          987.,   6.009E-20
         1012.,   1.223E-19
         1037.,   2.301E-19
         1062.,   4.455E-19
         1087.,   8.291E-19
         1112.,   1.357E-17
         1120.,   1.670E-17
         1140.,   2.417E-17
         1160.,   3.819E-17
         1180.,   5.514E-17
         1200.,   7.752E-17
         1220.,   1.146E-16
         1240.,   1.747E-16
         1260.,   2.510E-16
         1280.,   3.437E-16
         1300.,   4.755E-16
         1320.,   6.313E-16
         1340.,   8.143E-16
         1360.,   1.058E-15
         1380.,   1.397E-15
         1400.,   1.841E-15
         1420.,   2.397E-15
         1440.,   3.117E-15
         1460.,   4.061E-15
         1480.,   5.189E-15
         1500.,   6.729E-15
         1520.,   5.474E-14
         1540.,   9.840E-14
         1560.,   1.024E-13
         1580.,   1.310E-13
         1600.,   1.697E-13
         1620.,   2.084E-13
         1640.,   2.427E-13
         1660.,   2.655E-13
         1680.,   3.414E-12
         1700.,   5.205E-12
         1720.,   6.497E-12
         1740.,   8.564E-12
         1760.,   8.439E-12
         1780.,   1.169E-11
         1800.,   1.108E-11
         1820.,   8.998E-12
         1840.,   9.368E-12
         1860.,   1.205E-11
         1880.,   1.390E-11
         1900.,   1.622E-11
         1920.,   1.939E-11
         1940.,   1.720E-11
         1960.,   1.737E-11
         1980.,   2.454E-11
         2000.,   2.577E-11
         2002.,   2.721E-11
         2005.,   3.377E-11
         2008.,   3.607E-11
         2010.,   3.727E-11
         2012.,   3.757E-11
         2015.,   3.772E-11
         2018.,   3.710E-11
         2020.,   3.687E-11
         2022.,   3.697E-11
         2025.,   3.696E-11
         2027.,   3.695E-11
         2030.,   3.851E-11
         2032.,   4.093E-11
         2035.,   4.498E-11
         2038.,   4.762E-11
         2040.,   4.931E-11
         2042.,   5.046E-11
         2045.,   5.110E-11
         2048.,   5.209E-11
         2050.,   5.285E-11
         2052.,   5.307E-11
         2055.,   5.309E-11
         2058.,   5.250E-11
         2060.,   5.331E-11
         2062.,   5.499E-11
         2065.,   5.815E-11
         2067.,   6.132E-11
         2070.,   6.269E-11
         2072.,   6.447E-11
         2075.,   6.710E-11
         2077.,   7.054E-11
         2080.,   7.435E-11
         2082.,   7.924E-11
         2085.,   8.484E-11
         2088.,   8.446E-11
         2090.,   8.500E-11
         2092.,   8.691E-11
         2095.,   8.831E-11
         2098.,   8.865E-11
         2100.,   8.899E-11
         2102.,   8.763E-11
         2105.,   9.655E-11
         2107.,   9.333E-11
         2110.,   9.119E-11
         2112.,   9.832E-11
         2115.,   1.087E-10
         2118.,   1.238E-10
         2120.,   1.214E-10
         2122.,   9.631E-11
         2125.,   8.776E-11
         2128.,   1.008E-10
         2130.,   1.042E-10
         2133.,   1.011E-10
         2135.,   1.031E-10
         2138.,   1.083E-10
         2140.,   1.207E-10
         2142.,   1.395E-10
         2145.,   1.412E-10
         2147.,   1.293E-10
         2150.,   1.268E-10
         2153.,   1.305E-10
         2155.,   1.247E-10
         2157.,   1.081E-10
         2160.,   1.108E-10
         2162.,   1.223E-10
         2165.,   1.106E-10
         2168.,   9.911E-11
         2170.,   1.068E-10
         2173.,   1.120E-10
         2175.,   1.082E-10
         2177.,   1.223E-10
         2180.,   1.529E-10
         2182.,   1.614E-10
         2185.,   1.430E-10
         2187.,   1.285E-10
         2190.,   1.373E-10
         2193.,   1.545E-10
         2195.,   1.570E-10
         2198.,   1.546E-10
         2200.,   1.593E-10
         2202.,   1.719E-10
         2205.,   1.659E-10
         2208.,   1.316E-10
         2210.,   1.124E-10
         2213.,   1.218E-10
         2215.,   1.252E-10
         2218.,   1.275E-10
         2220.,   1.508E-10
         2222.,   1.648E-10
         2225.,   1.588E-10
         2227.,   1.573E-10
         2230.,   1.727E-10
         2233.,   2.076E-10
         2235.,   2.260E-10
         2237.,   2.086E-10
         2240.,   1.886E-10
         2242.,   1.743E-10
         2245.,   1.790E-10
         2248.,   1.920E-10
         2250.,   1.828E-10
         2253.,   1.694E-10
         2255.,   1.627E-10
         2257.,   1.586E-10
         2260.,   1.529E-10
         2262.,   1.405E-10
         2265.,   1.220E-10
         2267.,   1.076E-10
         2270.,   1.044E-10
         2273.,   1.112E-10
         2275.,   1.222E-10
         2277.,   1.363E-10
         2280.,   1.585E-10
         2282.,   1.742E-10
         2285.,   1.687E-10
         2288.,   1.539E-10
         2290.,   1.472E-10
         2293.,   1.530E-10
         2295.,   1.544E-10
         2298.,   1.371E-10
         2300.,   1.293E-10
         2302.,   1.476E-10
         2305.,   1.794E-10
         2307.,   1.852E-10
         2310.,   1.489E-10
         2313.,   1.338E-10
         2315.,   1.566E-10
         2317.,   1.618E-10
         2320.,   1.547E-10
         2322.,   1.695E-10
         2325.,   1.685E-10
         2327.,   1.544E-10
         2330.,   1.467E-10
         2333.,   1.398E-10
         2335.,   1.413E-10
         2337.,   1.317E-10
         2340.,   1.248E-10
         2342.,   1.162E-10
         2345.,   1.040E-10
         2347.,   1.165E-10
         2350.,   1.482E-10
         2353.,   1.695E-10
         2355.,   1.730E-10
         2357.,   1.617E-10
         2360.,   1.442E-10
         2362.,   1.421E-10
         2365.,   1.399E-10
         2368.,   1.439E-10
         2370.,   1.632E-10
         2373.,   1.605E-10
         2375.,   1.517E-10
         2377.,   1.482E-10
         2380.,   1.217E-10
         2383.,   1.074E-10
         2385.,   1.238E-10
         2387.,   1.367E-10
         2390.,   1.496E-10
         2393.,   1.500E-10
         2395.,   1.269E-10
         2397.,   1.199E-10
         2400.,   1.322E-10
         2403.,   1.355E-10
         2405.,   1.128E-10
         2407.,   1.200E-10
         2410.,   1.189E-10
         2413.,   1.210E-10
         2415.,   1.485E-10
         2417.,   1.809E-10
         2420.,   2.064E-10
         2423.,   2.108E-10
         2425.,   2.043E-10
         2427.,   2.138E-10
         2430.,   2.075E-10
         2433.,   1.948E-10
         2435.,   1.818E-10
         2437.,   1.848E-10
         2440.,   1.944E-10
         2443.,   2.004E-10
         2445.,   1.854E-10
         2448.,   1.647E-10
         2450.,   1.503E-10
         2452.,   1.435E-10
         2455.,   1.461E-10
         2457.,   1.517E-10
         2460.,   1.449E-10
         2463.,   1.352E-10
         2465.,   1.458E-10
         2467.,   1.597E-10
         2470.,   1.645E-10
         2473.,   1.640E-10
         2475.,   1.724E-10
         2477.,   1.632E-10
         2480.,   1.506E-10
         2483.,   1.345E-10
         2485.,   1.315E-10
         2487.,   1.267E-10
         2490.,   1.110E-10
         2493.,   1.445E-10
         2495.,   1.857E-10
         2497.,   1.927E-10
         2500.,   1.822E-10
         2502.,   1.780E-10
         2505.,   1.630E-10
         2507.,   1.587E-10
         2510.,   1.659E-10
         2513.,   1.436E-10
         2515.,   1.197E-10
         2518.,   1.194E-10
         2520.,   1.301E-10
         2522.,   1.243E-10
         2525.,   1.250E-10
         2527.,   1.227E-10
         2530.,   1.343E-10
         2532.,   1.573E-10
         2535.,   1.582E-10
         2538.,   1.586E-10
         2540.,   1.649E-10
         2542.,   1.739E-10
         2545.,   1.778E-10
         2548.,   1.670E-10
         2550.,   1.859E-10
         2552.,   2.341E-10
         2555.,   2.453E-10
         2558.,   2.483E-10
         2560.,   2.611E-10
         2562.,   2.393E-10
         2565.,   2.684E-10
         2567.,   3.339E-10
         2570.,   3.726E-10
         2573.,   3.761E-10
         2575.,   3.063E-10
         2577.,   3.206E-10
         2580.,   4.275E-10
         2582.,   4.035E-10
         2585.,   2.922E-10
         2587.,   3.300E-10
         2590.,   4.085E-10
         2593.,   3.394E-10
         2595.,   2.956E-10
         2598.,   2.342E-10
         2600.,   2.160E-10
         2602.,   2.931E-10
         2605.,   2.656E-10
         2607.,   2.326E-10
         2610.,   2.459E-10
         2612.,   2.156E-10
         2615.,   2.550E-10
         2618.,   2.969E-10
         2620.,   3.196E-10
         2622.,   3.384E-10
         2625.,   3.190E-10
         2627.,   2.754E-10
         2630.,   2.465E-10
         2633.,   2.891E-10
         2635.,   4.293E-10
         2638.,   5.918E-10
         2640.,   6.969E-10
         2642.,   7.497E-10
         2645.,   7.569E-10
         2647.,   6.265E-10
         2650.,   5.638E-10
         2652.,   6.599E-10
         2655.,   7.666E-10
         2657.,   7.593E-10
         2660.,   7.049E-10
         2662.,   6.487E-10
         2665.,   6.515E-10
         2667.,   6.628E-10
         2670.,   6.610E-10
         2673.,   6.659E-10
         2675.,   7.378E-10
         2677.,   6.763E-10
         2680.,   6.523E-10
         2682.,   6.700E-10
         2685.,   6.772E-10
         2687.,   6.461E-10
         2690.,   6.126E-10
         2692.,   6.458E-10
         2695.,   6.071E-10
         2698.,   6.341E-10
         2700.,   7.335E-10
         2702.,   7.702E-10
         2705.,   7.698E-10
         2707.,   7.105E-10
         2710.,   6.839E-10
         2713.,   6.783E-10
         2715.,   6.143E-10
         2718.,   5.037E-10
         2720.,   4.184E-10
         2722.,   4.754E-10
         2725.,   5.200E-10
         2727.,   6.155E-10
         2730.,   6.954E-10
         2732.,   6.067E-10
         2735.,   4.998E-10
         2737.,   4.206E-10
         2740.,   3.690E-10
         2742.,   3.434E-10
         2745.,   3.525E-10
         2747.,   3.382E-10
         2750.,   3.877E-10
         2753.,   4.766E-10
         2755.,   4.386E-10
         2758.,   5.618E-10
         2760.,   6.539E-10
         2762.,   6.370E-10
         2765.,   6.848E-10
         2767.,   6.495E-10
         2770.,   6.461E-10
         2772.,   6.875E-10
         2775.,   6.468E-10
         2778.,   5.343E-10
         2780.,   4.581E-10
         2782.,   4.450E-10
         2785.,   4.482E-10
         2787.,   3.999E-10
         2790.,   3.073E-10
         2793.,   2.415E-10
         2795.,   2.147E-10
         2798.,   2.010E-10
         2800.,   2.077E-10
         2802.,   2.203E-10
         2805.,   2.550E-10
         2807.,   3.497E-10
         2810.,   4.312E-10
         2812.,   5.068E-10
         2815.,   5.984E-10
         2817.,   6.563E-10
         2820.,   7.141E-10
         2823.,   7.597E-10
         2825.,   7.803E-10
         2827.,   7.825E-10
         2830.,   8.527E-10
         2833.,   8.637E-10
         2835.,   8.035E-10
         2838.,   8.051E-10
         2840.,   8.374E-10
         2842.,   7.499E-10
         2845.,   6.538E-10
         2847.,   4.868E-10
         2850.,   2.873E-10
         2852.,   2.437E-10
         2855.,   3.764E-10
         2858.,   5.787E-10
         2860.,   7.847E-10
         2862.,   8.804E-10
         2865.,   9.088E-10
         2867.,   8.602E-10
         2870.,   9.124E-10
         2873.,    1.013E-9
         2875.,   9.306E-10
         2878.,   8.186E-10
         2880.,   5.814E-10
         2883.,   6.215E-10
         2885.,   9.349E-10
         2887.,    1.032E-9
         2890.,    1.029E-9
         2892.,    1.064E-9
         2895.,    1.201E-9
         2898.,    1.363E-9
         2900.,    1.505E-9
         2903.,    1.578E-9
         2905.,    1.571E-9
         2907.,    1.466E-9
         2910.,    1.475E-9
         2913.,    1.532E-9
         2915.,    1.423E-9
         2918.,    1.386E-9
         2920.,    1.412E-9
         2923.,    1.307E-9
         2925.,    1.184E-9
         2927.,    1.211E-9
         2930.,    1.440E-9
         2932.,    1.550E-9
         2935.,    1.383E-9
