wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,   1.156E-18
          516.,   2.019E-18
          540.,   6.382E-18
          564.,   1.829E-17
          587.,   4.481E-17
          612.,   1.130E-16
          640.,   2.892E-16
          671.,   7.431E-16
          705.,   1.911E-15
          736.,   4.192E-15
          770.,   9.254E-15
          810.,   2.157E-14
          850.,   4.655E-14
          890.,   9.413E-14
          920.,   4.206E-12
          940.,   2.596E-11
          962.,   2.723E-10
          987.,    2.167E-9
         1012.,    2.019E-9
         1037.,    2.162E-9
         1062.,    5.242E-9
         1087.,    5.046E-9
         1112.,    1.213E-8
         1120.,    1.290E-8
         1140.,    1.342E-8
         1160.,    1.389E-8
         1180.,    1.065E-8
         1200.,    4.563E-9
         1220.,   6.875E-10
         1240.,    9.160E-9
         1260.,    1.462E-8
         1280.,    2.008E-8
         1300.,    1.666E-8
         1320.,    2.098E-8
         1340.,    2.209E-8
         1360.,    2.202E-8
         1380.,    2.112E-8
         1400.,    2.174E-8
         1420.,    2.133E-8
         1440.,    2.174E-8
         1460.,    2.392E-8
         1480.,    2.233E-8
         1500.,    2.340E-8
         1520.,    2.336E-8
         1540.,    2.323E-8
         1560.,    2.247E-8
         1580.,    2.116E-8
         1600.,    2.019E-8
         1620.,    1.860E-8
         1640.,    1.784E-8
         1660.,    1.749E-8
         1680.,    1.759E-8
         1700.,    1.766E-8
         1720.,    1.652E-8
         1740.,    1.652E-8
         1760.,    1.683E-8
         1780.,    1.673E-8
         1800.,    1.592E-8
         1820.,    1.511E-8
         1840.,    1.455E-8
         1860.,    1.511E-8
         1880.,    1.417E-8
         1900.,    1.383E-8
         1920.,    1.403E-8
         1940.,    1.355E-8
         1960.,    1.327E-8
         1980.,    1.255E-8
         2000.,    1.199E-8
         2002.,    1.200E-8
         2005.,    1.200E-8
         2008.,    1.201E-8
         2010.,    1.201E-8
         2012.,    1.202E-8
         2015.,    1.202E-8
         2018.,    1.203E-8
         2020.,    1.203E-8
         2022.,    1.197E-8
         2025.,    1.191E-8
         2027.,    1.185E-8
         2030.,    1.179E-8
         2032.,    1.173E-8
         2035.,    1.167E-8
         2038.,    1.161E-8
         2040.,    1.155E-8
         2042.,    1.151E-8
         2045.,    1.147E-8
         2048.,    1.143E-8
         2050.,    1.139E-8
         2052.,    1.135E-8
         2055.,    1.131E-8
         2058.,    1.127E-8
         2060.,    1.123E-8
         2062.,    1.116E-8
         2065.,    1.108E-8
         2067.,    1.100E-8
         2070.,    1.092E-8
         2072.,    1.085E-8
         2075.,    1.077E-8
         2077.,    1.069E-8
         2080.,    1.061E-8
         2082.,    1.067E-8
         2085.,    1.072E-8
         2088.,    1.078E-8
         2090.,    1.084E-8
         2092.,    1.089E-8
         2095.,    1.095E-8
         2098.,    1.101E-8
         2100.,    1.106E-8
         2102.,    1.101E-8
         2105.,    1.096E-8
         2107.,    1.090E-8
         2110.,    1.085E-8
         2112.,    1.080E-8
         2115.,    1.075E-8
         2118.,    1.070E-8
         2120.,    1.064E-8
         2122.,    1.060E-8
         2125.,    1.056E-8
         2128.,    1.051E-8
         2130.,    1.047E-8
         2133.,    1.043E-8
         2135.,    1.039E-8
         2138.,    1.034E-8
         2140.,    1.030E-8
         2142.,    1.031E-8
         2145.,    1.032E-8
         2147.,    1.033E-8
         2150.,    1.034E-8
         2153.,    1.034E-8
         2155.,    1.035E-8
         2157.,    1.036E-8
         2160.,    1.037E-8
         2162.,    1.035E-8
         2165.,    1.033E-8
         2168.,    1.030E-8
         2170.,    1.028E-8
         2173.,    1.026E-8
         2175.,    1.024E-8
         2177.,    1.022E-8
         2180.,    1.019E-8
         2182.,    1.018E-8
         2185.,    1.016E-8
         2187.,    1.014E-8
         2190.,    1.013E-8
         2193.,    1.011E-8
         2195.,    1.009E-8
         2198.,    1.008E-8
         2200.,    1.006E-8
         2202.,    1.002E-8
         2205.,    9.981E-9
         2208.,    9.941E-9
         2210.,    9.902E-9
         2213.,    9.862E-9
         2215.,    9.823E-9
         2218.,    9.784E-9
         2220.,    9.745E-9
         2222.,    9.710E-9
         2225.,    9.675E-9
         2227.,    9.641E-9
         2230.,    9.606E-9
         2233.,    9.572E-9
         2235.,    9.537E-9
         2237.,    9.503E-9
         2240.,    9.468E-9
         2242.,    9.421E-9
         2245.,    9.374E-9
         2248.,    9.327E-9
         2250.,    9.280E-9
         2253.,    9.233E-9
         2255.,    9.186E-9
         2257.,    9.138E-9
         2260.,    9.091E-9
         2262.,    9.087E-9
         2265.,    9.083E-9
         2267.,    9.078E-9
         2270.,    9.074E-9
         2273.,    9.070E-9
         2275.,    9.065E-9
         2277.,    9.061E-9
         2280.,    9.057E-9
         2282.,    9.074E-9
         2285.,    9.090E-9
         2288.,    9.107E-9
         2290.,    9.124E-9
         2293.,    9.141E-9
         2295.,    9.158E-9
         2298.,    9.175E-9
         2300.,    9.191E-9
         2302.,    9.109E-9
         2305.,    9.027E-9
         2307.,    8.945E-9
         2310.,    8.863E-9
         2313.,    8.781E-9
         2315.,    8.699E-9
         2317.,    8.617E-9
         2320.,    8.535E-9
         2322.,    8.514E-9
         2325.,    8.492E-9
         2327.,    8.471E-9
         2330.,    8.450E-9
         2333.,    8.429E-9
         2335.,    8.408E-9
         2337.,    8.387E-9
         2340.,    8.365E-9
         2342.,    8.361E-9
         2345.,    8.357E-9
         2347.,    8.352E-9
         2350.,    8.348E-9
         2353.,    8.344E-9
         2355.,    8.340E-9
         2357.,    8.335E-9
         2360.,    8.331E-9
         2362.,    8.296E-9
         2365.,    8.261E-9
         2368.,    8.226E-9
         2370.,    8.191E-9
         2373.,    8.156E-9
         2375.,    8.121E-9
         2377.,    8.086E-9
         2380.,    8.051E-9
         2383.,    8.030E-9
         2385.,    8.008E-9
         2387.,    7.987E-9
         2390.,    7.966E-9
         2393.,    7.945E-9
         2395.,    7.924E-9
         2397.,    7.903E-9
         2400.,    7.882E-9
         2403.,    7.898E-9
         2405.,    7.915E-9
         2407.,    7.932E-9
         2410.,    7.949E-9
         2413.,    7.966E-9
         2415.,    7.983E-9
         2417.,    7.999E-9
         2420.,    8.016E-9
         2423.,    8.046E-9
         2425.,    8.077E-9
         2427.,    8.107E-9
         2430.,    8.137E-9
         2433.,    8.167E-9
         2435.,    8.198E-9
         2437.,    8.228E-9
         2440.,    8.258E-9
         2443.,    8.258E-9
         2445.,    8.258E-9
         2448.,    8.258E-9
         2450.,    8.258E-9
         2452.,    8.258E-9
         2455.,    8.258E-9
         2457.,    8.258E-9
         2460.,    8.258E-9
         2463.,    8.254E-9
         2465.,    8.249E-9
         2467.,    8.245E-9
         2470.,    8.241E-9
         2473.,    8.237E-9
         2475.,    8.232E-9
         2477.,    8.228E-9
         2480.,    8.224E-9
         2483.,    8.250E-9
         2485.,    8.276E-9
         2487.,    8.303E-9
         2490.,    8.329E-9
         2493.,    8.355E-9
         2495.,    8.382E-9
         2497.,    8.408E-9
         2500.,    8.434E-9
         2502.,    8.422E-9
         2505.,    8.408E-9
         2507.,    8.396E-9
         2510.,    8.383E-9
         2513.,    8.370E-9
         2515.,    8.357E-9
         2518.,    8.344E-9
         2520.,    8.331E-9
         2522.,    8.214E-9
         2525.,    8.097E-9
         2527.,    7.981E-9
         2530.,    7.864E-9
         2532.,    7.747E-9
         2535.,    7.631E-9
         2538.,    7.514E-9
         2540.,    7.398E-9
         2542.,    7.419E-9
         2545.,    7.440E-9
         2548.,    7.461E-9
         2550.,    7.482E-9
         2552.,    7.503E-9
         2555.,    7.524E-9
         2558.,    7.546E-9
         2560.,    7.567E-9
         2562.,    7.641E-9
         2565.,    7.714E-9
         2567.,    7.789E-9
         2570.,    7.863E-9
         2573.,    7.936E-9
         2575.,    8.010E-9
         2577.,    8.084E-9
         2580.,    8.158E-9
         2582.,    8.102E-9
         2585.,    8.046E-9
         2587.,    7.989E-9
         2590.,    7.933E-9
         2593.,    7.877E-9
         2595.,    7.821E-9
         2598.,    7.765E-9
         2600.,    7.709E-9
         2602.,    7.696E-9
         2605.,    7.683E-9
         2607.,    7.670E-9
         2610.,    7.657E-9
         2612.,    7.644E-9
         2615.,    7.631E-9
         2618.,    7.618E-9
         2620.,    7.605E-9
         2622.,    7.648E-9
         2625.,    7.691E-9
         2627.,    7.735E-9
         2630.,    7.778E-9
         2633.,    7.821E-9
         2635.,    7.864E-9
         2638.,    7.907E-9
         2640.,    7.950E-9
         2642.,    7.894E-9
         2645.,    7.837E-9
         2647.,    7.781E-9
         2650.,    7.724E-9
         2652.,    7.667E-9
         2655.,    7.611E-9
         2657.,    7.554E-9
         2660.,    7.498E-9
         2662.,    7.515E-9
         2665.,    7.533E-9
         2667.,    7.551E-9
         2670.,    7.569E-9
         2673.,    7.586E-9
         2675.,    7.604E-9
         2677.,    7.622E-9
         2680.,    7.639E-9
         2682.,    7.613E-9
         2685.,    7.588E-9
         2687.,    7.562E-9
         2690.,    7.536E-9
         2692.,    7.510E-9
         2695.,    7.484E-9
         2698.,    7.458E-9
         2700.,    7.432E-9
         2702.,    7.467E-9
         2705.,    7.501E-9
         2707.,    7.536E-9
         2710.,    7.570E-9
         2713.,    7.605E-9
         2715.,    7.639E-9
         2718.,    7.674E-9
         2720.,    7.709E-9
         2722.,    7.670E-9
         2725.,    7.631E-9
         2727.,    7.592E-9
         2730.,    7.553E-9
         2732.,    7.514E-9
         2735.,    7.475E-9
         2737.,    7.436E-9
         2740.,    7.398E-9
         2742.,    7.367E-9
         2745.,    7.337E-9
         2747.,    7.307E-9
         2750.,    7.277E-9
         2753.,    7.246E-9
         2755.,    7.216E-9
         2758.,    7.186E-9
         2760.,    7.155E-9
         2762.,    7.142E-9
         2765.,    7.129E-9
         2767.,    7.115E-9
         2770.,    7.102E-9
         2772.,    7.089E-9
         2775.,    7.075E-9
         2778.,    7.062E-9
         2780.,    7.048E-9
         2782.,    7.014E-9
         2785.,    6.979E-9
         2787.,    6.945E-9
         2790.,    6.910E-9
         2793.,    6.875E-9
         2795.,    6.841E-9
         2798.,    6.806E-9
         2800.,    6.772E-9
         2802.,    6.816E-9
         2805.,    6.859E-9
         2807.,    6.903E-9
         2810.,    6.946E-9
         2812.,    6.990E-9
         2815.,    7.034E-9
         2817.,    7.077E-9
         2820.,    7.121E-9
         2823.,    7.099E-9
         2825.,    7.078E-9
         2827.,    7.056E-9
         2830.,    7.034E-9
         2833.,    7.013E-9
         2835.,    6.991E-9
         2838.,    6.970E-9
         2840.,    6.948E-9
         2842.,    6.926E-9
         2845.,    6.904E-9
         2847.,    6.882E-9
         2850.,    6.860E-9
         2852.,    6.838E-9
         2855.,    6.816E-9
         2858.,    6.794E-9
         2860.,    6.772E-9
         2862.,    6.811E-9
         2865.,    6.849E-9
         2867.,    6.888E-9
         2870.,    6.928E-9
         2873.,    6.966E-9
         2875.,    7.005E-9
         2878.,    7.044E-9
         2880.,    7.083E-9
         2883.,    7.101E-9
         2885.,    7.118E-9
         2887.,    7.136E-9
         2890.,    7.154E-9
         2892.,    7.171E-9
         2895.,    7.189E-9
         2898.,    7.207E-9
         2900.,    7.225E-9
         2903.,    7.177E-9
         2905.,    7.129E-9
         2907.,    7.081E-9
         2910.,    7.033E-9
         2913.,    6.985E-9
         2915.,    6.937E-9
         2918.,    6.889E-9
         2920.,    6.841E-9
         2923.,    6.828E-9
         2925.,    6.816E-9
