wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,   2.268E-25
          516.,   4.829E-25
          540.,   2.557E-24
          564.,   1.182E-23
          587.,   4.650E-23
          612.,   1.900E-22
          640.,   8.388E-22
          671.,   3.947E-21
          705.,   1.926E-20
          736.,   7.399E-20
          770.,   2.909E-19
          810.,   1.272E-18
          850.,   4.862E-18
          890.,   1.645E-17
          920.,   2.138E-15
          940.,   8.656E-15
          962.,   1.475E-14
          987.,   2.682E-14
         1012.,   4.086E-14
         1037.,   5.819E-14
         1062.,   9.065E-14
         1087.,   1.296E-13
         1112.,   1.380E-12
         1120.,   1.532E-12
         1140.,   1.877E-12
         1160.,   2.511E-12
         1180.,   3.023E-12
         1200.,   3.023E-12
         1220.,   4.005E-12
         1240.,   2.444E-11
         1260.,   1.457E-10
         1280.,   4.675E-10
         1300.,   7.118E-10
         1320.,   9.880E-10
         1340.,    1.288E-9
         1360.,    1.235E-9
         1380.,    1.365E-9
         1400.,    1.478E-9
         1420.,    1.478E-9
         1440.,    1.721E-9
         1460.,    1.932E-9
         1480.,    1.642E-9
         1500.,    2.592E-9
         1520.,    2.229E-9
         1540.,    2.684E-9
         1560.,    3.160E-9
         1580.,    3.766E-9
         1600.,    3.898E-9
         1620.,    3.713E-9
         1640.,    3.766E-9
         1660.,    3.602E-9
         1680.,    3.628E-9
         1700.,    4.076E-9
         1720.,    4.010E-9
         1740.,    4.334E-9
         1760.,    4.525E-9
         1780.,    4.606E-9
         1800.,    4.687E-9
         1820.,    4.768E-9
         1840.,    4.399E-9
         1860.,    4.537E-9
         1880.,    4.703E-9
         1900.,    4.545E-9
         1920.,    4.433E-9
         1940.,    4.525E-9
         1960.,    4.512E-9
         1980.,    4.294E-9
         2000.,    3.983E-9
         2002.,    3.965E-9
         2005.,    3.946E-9
         2008.,    3.927E-9
         2010.,    3.908E-9
         2012.,    3.889E-9
         2015.,    3.870E-9
         2018.,    3.851E-9
         2020.,    3.832E-9
         2022.,    3.837E-9
         2025.,    3.842E-9
         2027.,    3.847E-9
         2030.,    3.852E-9
         2032.,    3.857E-9
         2035.,    3.862E-9
         2038.,    3.867E-9
         2040.,    3.872E-9
         2042.,    3.875E-9
         2045.,    3.877E-9
         2048.,    3.879E-9
         2050.,    3.882E-9
         2052.,    3.884E-9
         2055.,    3.887E-9
         2058.,    3.889E-9
         2060.,    3.892E-9
         2062.,    3.883E-9
         2065.,    3.875E-9
         2067.,    3.867E-9
         2070.,    3.859E-9
         2072.,    3.850E-9
         2075.,    3.842E-9
         2077.,    3.833E-9
         2080.,    3.825E-9
         2082.,    3.813E-9
         2085.,    3.800E-9
         2088.,    3.788E-9
         2090.,    3.776E-9
         2092.,    3.763E-9
         2095.,    3.751E-9
         2098.,    3.738E-9
         2100.,    3.726E-9
         2102.,    3.683E-9
         2105.,    3.640E-9
         2107.,    3.598E-9
         2110.,    3.555E-9
         2112.,    3.512E-9
         2115.,    3.469E-9
         2118.,    3.426E-9
         2120.,    3.383E-9
         2122.,    3.363E-9
         2125.,    3.344E-9
         2128.,    3.324E-9
         2130.,    3.304E-9
         2133.,    3.284E-9
         2135.,    3.264E-9
         2138.,    3.245E-9
         2140.,    3.225E-9
         2142.,    3.238E-9
         2145.,    3.251E-9
         2147.,    3.265E-9
         2150.,    3.278E-9
         2153.,    3.291E-9
         2155.,    3.305E-9
         2157.,    3.318E-9
         2160.,    3.331E-9
         2162.,    3.319E-9
         2165.,    3.306E-9
         2168.,    3.294E-9
         2170.,    3.281E-9
         2173.,    3.269E-9
         2175.,    3.256E-9
         2177.,    3.244E-9
         2180.,    3.231E-9
         2182.,    3.227E-9
         2185.,    3.222E-9
         2187.,    3.217E-9
         2190.,    3.212E-9
         2193.,    3.207E-9
         2195.,    3.202E-9
         2198.,    3.197E-9
         2200.,    3.192E-9
         2202.,    3.161E-9
         2205.,    3.131E-9
         2208.,    3.101E-9
         2210.,    3.070E-9
         2213.,    3.040E-9
         2215.,    3.009E-9
         2218.,    2.979E-9
         2220.,    2.948E-9
         2222.,    2.963E-9
         2225.,    2.977E-9
         2227.,    2.991E-9
         2230.,    3.005E-9
         2233.,    3.019E-9
         2235.,    3.033E-9
         2237.,    3.047E-9
         2240.,    3.061E-9
         2242.,    3.029E-9
         2245.,    2.998E-9
         2248.,    2.966E-9
         2250.,    2.935E-9
         2253.,    2.904E-9
         2255.,    2.872E-9
         2257.,    2.841E-9
         2260.,    2.809E-9
         2262.,    2.833E-9
         2265.,    2.857E-9
         2267.,    2.881E-9
         2270.,    2.905E-9
         2273.,    2.929E-9
         2275.,    2.953E-9
         2277.,    2.977E-9
         2280.,    3.001E-9
         2282.,    2.971E-9
         2285.,    2.941E-9
         2288.,    2.912E-9
         2290.,    2.882E-9
         2293.,    2.853E-9
         2295.,    2.823E-9
         2298.,    2.793E-9
         2300.,    2.764E-9
         2302.,    2.746E-9
         2305.,    2.729E-9
         2307.,    2.712E-9
         2310.,    2.694E-9
         2313.,    2.677E-9
         2315.,    2.659E-9
         2317.,    2.642E-9
         2320.,    2.625E-9
         2322.,    2.602E-9
         2325.,    2.578E-9
         2327.,    2.555E-9
         2330.,    2.532E-9
         2333.,    2.509E-9
         2335.,    2.486E-9
         2337.,    2.463E-9
         2340.,    2.440E-9
         2342.,    2.447E-9
         2345.,    2.455E-9
         2347.,    2.462E-9
         2350.,    2.470E-9
         2353.,    2.477E-9
         2355.,    2.484E-9
         2357.,    2.492E-9
         2360.,    2.499E-9
         2362.,    2.475E-9
         2365.,    2.450E-9
         2368.,    2.425E-9
         2370.,    2.401E-9
         2373.,    2.376E-9
         2375.,    2.351E-9
         2377.,    2.327E-9
         2380.,    2.302E-9
         2383.,    2.295E-9
         2385.,    2.287E-9
         2387.,    2.280E-9
         2390.,    2.272E-9
         2393.,    2.265E-9
         2395.,    2.258E-9
         2397.,    2.250E-9
         2400.,    2.243E-9
         2403.,    2.291E-9
         2405.,    2.340E-9
         2407.,    2.389E-9
         2410.,    2.437E-9
         2413.,    2.486E-9
         2415.,    2.535E-9
         2417.,    2.583E-9
         2420.,    2.632E-9
         2423.,    2.649E-9
         2425.,    2.666E-9
         2427.,    2.684E-9
         2430.,    2.701E-9
         2433.,    2.718E-9
         2435.,    2.735E-9
         2437.,    2.753E-9
         2440.,    2.770E-9
         2443.,    2.760E-9
         2445.,    2.750E-9
         2448.,    2.740E-9
         2450.,    2.730E-9
         2452.,    2.720E-9
         2455.,    2.710E-9
         2457.,    2.700E-9
         2460.,    2.691E-9
         2463.,    2.700E-9
         2465.,    2.709E-9
         2467.,    2.718E-9
         2470.,    2.727E-9
         2473.,    2.736E-9
         2475.,    2.745E-9
         2477.,    2.755E-9
         2480.,    2.764E-9
         2483.,    2.772E-9
         2485.,    2.780E-9
         2487.,    2.789E-9
         2490.,    2.797E-9
         2493.,    2.805E-9
         2495.,    2.813E-9
         2497.,    2.821E-9
         2500.,    2.830E-9
         2502.,    2.788E-9
         2505.,    2.746E-9
         2507.,    2.704E-9
         2510.,    2.662E-9
         2513.,    2.620E-9
         2515.,    2.577E-9
         2518.,    2.535E-9
         2520.,    2.493E-9
         2522.,    2.479E-9
         2525.,    2.465E-9
         2527.,    2.451E-9
         2530.,    2.437E-9
         2532.,    2.423E-9
         2535.,    2.409E-9
         2538.,    2.395E-9
         2540.,    2.381E-9
         2542.,    2.416E-9
         2545.,    2.450E-9
         2548.,    2.485E-9
         2550.,    2.520E-9
         2552.,    2.554E-9
         2555.,    2.589E-9
         2558.,    2.624E-9
         2560.,    2.658E-9
         2562.,    2.672E-9
         2565.,    2.686E-9
         2567.,    2.700E-9
         2570.,    2.714E-9
         2573.,    2.728E-9
         2575.,    2.742E-9
         2577.,    2.756E-9
         2580.,    2.770E-9
         2582.,    2.748E-9
         2585.,    2.725E-9
         2587.,    2.703E-9
         2590.,    2.681E-9
         2593.,    2.659E-9
         2595.,    2.637E-9
         2598.,    2.614E-9
         2600.,    2.592E-9
         2602.,    2.601E-9
         2605.,    2.610E-9
         2607.,    2.619E-9
         2610.,    2.628E-9
         2612.,    2.637E-9
         2615.,    2.646E-9
         2618.,    2.655E-9
         2620.,    2.664E-9
         2622.,    2.710E-9
         2625.,    2.757E-9
         2627.,    2.803E-9
         2630.,    2.849E-9
         2633.,    2.895E-9
         2635.,    2.942E-9
         2638.,    2.988E-9
         2640.,    3.034E-9
         2642.,    3.052E-9
         2645.,    3.071E-9
         2647.,    3.089E-9
         2650.,    3.107E-9
         2652.,    3.125E-9
         2655.,    3.143E-9
         2657.,    3.161E-9
         2660.,    3.179E-9
         2662.,    3.146E-9
         2665.,    3.112E-9
         2667.,    3.078E-9
         2670.,    3.044E-9
         2673.,    3.010E-9
         2675.,    2.977E-9
         2677.,    2.943E-9
         2680.,    2.909E-9
         2682.,    2.915E-9
         2685.,    2.920E-9
         2687.,    2.926E-9
         2690.,    2.932E-9
         2692.,    2.938E-9
         2695.,    2.944E-9
         2698.,    2.949E-9
         2700.,    2.955E-9
         2702.,    2.951E-9
         2705.,    2.947E-9
         2707.,    2.942E-9
         2710.,    2.938E-9
         2713.,    2.934E-9
         2715.,    2.930E-9
         2718.,    2.926E-9
         2720.,    2.921E-9
         2722.,    2.890E-9
         2725.,    2.859E-9
         2727.,    2.827E-9
         2730.,    2.796E-9
         2732.,    2.765E-9
         2735.,    2.733E-9
         2737.,    2.702E-9
         2740.,    2.671E-9
         2742.,    2.679E-9
         2745.,    2.687E-9
         2747.,    2.696E-9
         2750.,    2.704E-9
         2753.,    2.712E-9
         2755.,    2.721E-9
         2758.,    2.729E-9
         2760.,    2.737E-9
         2762.,    2.747E-9
         2765.,    2.757E-9
         2767.,    2.767E-9
         2770.,    2.777E-9
         2772.,    2.786E-9
         2775.,    2.796E-9
         2778.,    2.806E-9
         2780.,    2.816E-9
         2782.,    2.782E-9
         2785.,    2.748E-9
         2787.,    2.715E-9
         2790.,    2.681E-9
         2793.,    2.647E-9
         2795.,    2.613E-9
         2798.,    2.579E-9
         2800.,    2.545E-9
         2802.,    2.623E-9
         2805.,    2.701E-9
         2807.,    2.778E-9
         2810.,    2.856E-9
         2812.,    2.933E-9
         2815.,    3.011E-9
         2817.,    3.089E-9
         2820.,    3.166E-9
         2823.,    3.126E-9
         2825.,    3.085E-9
         2827.,    3.045E-9
         2830.,    3.005E-9
         2833.,    2.964E-9
         2835.,    2.924E-9
         2838.,    2.883E-9
         2840.,    2.843E-9
         2842.,    2.843E-9
         2845.,    2.843E-9
         2847.,    2.843E-9
         2850.,    2.843E-9
         2852.,    2.843E-9
         2855.,    2.843E-9
         2858.,    2.843E-9
         2860.,    2.843E-9
         2862.,    2.846E-9
         2865.,    2.850E-9
         2867.,    2.853E-9
         2870.,    2.856E-9
         2873.,    2.859E-9
         2875.,    2.863E-9
         2878.,    2.866E-9
         2880.,    2.869E-9
         2883.,    2.900E-9
         2885.,    2.930E-9
         2887.,    2.961E-9
         2890.,    2.991E-9
         2892.,    3.021E-9
         2895.,    3.052E-9
         2898.,    3.082E-9
         2900.,    3.113E-9
         2903.,    3.100E-9
         2905.,    3.088E-9
         2907.,    3.076E-9
         2910.,    3.064E-9
         2913.,    3.051E-9
         2915.,    3.039E-9
         2918.,    3.027E-9
         2920.,    3.014E-9
         2923.,    3.016E-9
         2925.,    3.018E-9
