wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,          0.
          940.,          0.
          962.,          0.
          987.,          0.
         1012.,          0.
         1037.,          0.
         1062.,          0.
         1087.,          0.
         1112.,          0.
         1120.,          0.
         1140.,          0.
         1160.,          0.
         1180.,          0.
         1200.,          0.
         1220.,          0.
         1240.,          0.
         1260.,          0.
         1280.,          0.
         1300.,          0.
         1320.,          0.
         1340.,          0.
         1360.,          0.
         1380.,          0.
         1400.,          0.
         1420.,          0.
         1440.,          0.
         1460.,          0.
         1480.,          0.
         1500.,          0.
         1520.,          0.
         1540.,          0.
         1560.,          0.
         1580.,          0.
         1600.,          0.
         1620.,          0.
         1640.,          0.
         1660.,          0.
         1680.,          0.
         1700.,          0.
         1720.,          0.
         1740.,          0.
         1760.,          0.
         1780.,          0.
         1800.,          0.
         1820.,          0.
         1840.,          0.
         1860.,          0.
         1880.,          0.
         1900.,          0.
         1920.,          0.
         1940.,          0.
         1960.,          0.
         1980.,          0.
         2000.,   1.313E-12
         2002.,   1.313E-12
         2005.,   1.373E-12
         2008.,   1.401E-12
         2010.,   1.331E-12
         2012.,   1.362E-12
         2015.,   1.448E-12
         2018.,   1.507E-12
         2020.,   1.567E-12
         2022.,   1.788E-12
         2025.,   1.901E-12
         2027.,   1.808E-12
         2030.,   1.794E-12
         2032.,   1.816E-12
         2035.,   1.780E-12
         2038.,   1.707E-12
         2040.,   1.453E-12
         2042.,   1.285E-12
         2045.,   1.247E-12
         2048.,   1.216E-12
         2050.,   1.202E-12
         2052.,   1.181E-12
         2055.,   1.177E-12
         2058.,   1.331E-12
         2060.,   1.491E-12
         2062.,   1.797E-12
         2065.,   2.012E-12
         2067.,   2.111E-12
         2070.,   2.156E-12
         2072.,   2.184E-12
         2075.,   2.288E-12
         2077.,   2.415E-12
         2080.,   2.411E-12
         2082.,   2.398E-12
         2085.,   2.376E-12
         2088.,   2.347E-12
         2090.,   2.307E-12
         2092.,   2.463E-12
         2095.,   2.643E-12
         2098.,   2.724E-12
         2100.,   2.781E-12
         2102.,   2.658E-12
         2105.,   2.554E-12
         2107.,   2.477E-12
         2110.,   2.492E-12
         2112.,   2.524E-12
         2115.,   2.609E-12
         2118.,   2.704E-12
         2120.,   2.767E-12
         2122.,   2.828E-12
         2125.,   2.888E-12
         2128.,   3.007E-12
         2130.,   3.189E-12
         2133.,   3.323E-12
         2135.,   3.346E-12
         2138.,   3.100E-12
         2140.,   2.909E-12
         2142.,   2.939E-12
         2145.,   2.944E-12
         2147.,   2.926E-12
         2150.,   2.869E-12
         2153.,   2.761E-12
         2155.,   2.761E-12
         2157.,   2.811E-12
         2160.,   2.958E-12
         2162.,   3.051E-12
         2165.,   2.865E-12
         2168.,   2.859E-12
         2170.,   2.994E-12
         2173.,   3.061E-12
         2175.,   3.125E-12
         2177.,   3.134E-12
         2180.,   3.143E-12
         2182.,   3.171E-12
         2185.,   3.214E-12
         2187.,   3.266E-12
         2190.,   3.357E-12
         2193.,   3.484E-12
         2195.,   3.731E-12
         2198.,   3.892E-12
         2200.,   3.849E-12
         2202.,   3.782E-12
         2205.,   3.640E-12
         2208.,   3.474E-12
         2210.,   3.297E-12
         2213.,   3.146E-12
         2215.,   2.995E-12
         2218.,   2.794E-12
         2220.,   2.684E-12
         2222.,   2.816E-12
         2225.,   3.042E-12
         2227.,   3.314E-12
         2230.,   3.648E-12
         2233.,   4.025E-12
         2235.,   4.379E-12
         2237.,   4.718E-12
         2240.,   5.036E-12
         2242.,   5.376E-12
         2245.,   5.765E-12
         2248.,   6.046E-12
         2250.,   6.268E-12
         2253.,   6.376E-12
         2255.,   6.483E-12
         2257.,   6.554E-12
         2260.,   6.563E-12
         2262.,   6.466E-12
         2265.,   6.304E-12
         2267.,   6.121E-12
         2270.,   5.928E-12
         2273.,   5.747E-12
         2275.,   5.778E-12
         2277.,   5.758E-12
         2280.,   5.681E-12
         2282.,   5.614E-12
         2285.,   5.561E-12
         2288.,   5.479E-12
         2290.,   5.385E-12
         2293.,   5.276E-12
         2295.,   5.160E-12
         2298.,   4.980E-12
         2300.,   4.902E-12
         2302.,   4.954E-12
         2305.,   4.930E-12
         2307.,   4.891E-12
         2310.,   5.039E-12
         2313.,   5.286E-12
         2315.,   5.754E-12
         2317.,   6.170E-12
         2320.,   6.547E-12
         2322.,   7.036E-12
         2325.,   7.649E-12
         2327.,   8.359E-12
         2330.,   8.917E-12
         2333.,   9.050E-12
         2335.,   9.182E-12
         2337.,   9.310E-12
         2340.,   9.387E-12
         2342.,   9.419E-12
         2345.,   9.210E-12
         2347.,   8.980E-12
         2350.,   8.911E-12
         2353.,   8.954E-12
         2355.,   9.252E-12
         2357.,   9.375E-12
         2360.,   9.400E-12
         2362.,   9.480E-12
         2365.,   9.604E-12
         2368.,   9.702E-12
         2370.,   9.798E-12
         2373.,   9.813E-12
         2375.,   9.826E-12
         2377.,   9.871E-12
         2380.,   9.874E-12
         2383.,   9.849E-12
         2385.,   9.798E-12
         2387.,   9.724E-12
         2390.,   9.778E-12
         2393.,   9.796E-12
         2395.,   9.715E-12
         2397.,   9.565E-12
         2400.,   9.193E-12
         2403.,   9.062E-12
         2405.,   9.060E-12
         2407.,   8.927E-12
         2410.,   8.794E-12
         2413.,   8.699E-12
         2415.,   8.712E-12
         2417.,   9.004E-12
         2420.,   9.296E-12
         2423.,   9.588E-12
         2425.,   1.011E-11
         2427.,   1.079E-11
         2430.,   1.134E-11
         2433.,   1.178E-11
         2435.,   1.205E-11
         2437.,   1.225E-11
         2440.,   1.231E-11
         2443.,   1.242E-11
         2445.,   1.260E-11
         2448.,   1.302E-11
         2450.,   1.345E-11
         2452.,   1.385E-11
         2455.,   1.416E-11
         2457.,   1.432E-11
         2460.,   1.398E-11
         2463.,   1.348E-11
         2465.,   1.317E-11
         2467.,   1.297E-11
         2470.,   1.293E-11
         2473.,   1.302E-11
         2475.,   1.328E-11
         2477.,   1.330E-11
         2480.,   1.299E-11
         2483.,   1.261E-11
         2485.,   1.216E-11
         2487.,   1.152E-11
         2490.,   1.105E-11
         2493.,   1.188E-11
         2495.,   1.245E-11
         2497.,   1.269E-11
         2500.,   1.285E-11
         2502.,   1.316E-11
         2505.,   1.347E-11
         2507.,   1.358E-11
         2510.,   1.350E-11
         2513.,   1.288E-11
         2515.,   1.245E-11
         2518.,   1.190E-11
         2520.,   1.102E-11
         2522.,   1.018E-11
         2525.,   1.150E-11
         2527.,   1.372E-11
         2530.,   1.516E-11
         2532.,   1.733E-11
         2535.,   2.035E-11
         2538.,   2.195E-11
         2540.,   2.141E-11
         2542.,   2.182E-11
         2545.,   2.253E-11
         2548.,   2.302E-11
         2550.,   2.350E-11
         2552.,   2.359E-11
         2555.,   2.346E-11
         2558.,   2.274E-11
         2560.,   2.179E-11
         2562.,   2.167E-11
         2565.,   2.225E-11
         2567.,   2.338E-11
         2570.,   2.427E-11
         2573.,   2.568E-11
         2575.,   2.298E-11
         2577.,   2.098E-11
         2580.,   2.023E-11
         2582.,   2.006E-11
         2585.,   1.964E-11
         2587.,   2.149E-11
         2590.,   2.495E-11
         2593.,   2.678E-11
         2595.,   2.756E-11
         2598.,   2.764E-11
         2600.,   2.828E-11
         2602.,   2.855E-11
         2605.,   2.831E-11
         2607.,   2.802E-11
         2610.,   2.843E-11
         2612.,   2.931E-11
         2615.,   2.931E-11
         2618.,   2.961E-11
         2620.,   3.041E-11
         2622.,   3.143E-11
         2625.,   3.193E-11
         2627.,   3.352E-11
         2630.,   3.598E-11
         2633.,   3.793E-11
         2635.,   4.110E-11
         2638.,   4.671E-11
         2640.,   5.114E-11
         2642.,   5.276E-11
         2645.,   5.376E-11
         2647.,   5.449E-11
         2650.,   5.428E-11
         2652.,   5.431E-11
         2655.,   5.553E-11
         2657.,   5.715E-11
         2660.,   5.886E-11
         2662.,   6.058E-11
         2665.,   6.224E-11
         2667.,   6.151E-11
         2670.,   6.048E-11
         2673.,   6.002E-11
         2675.,   5.963E-11
         2677.,   5.907E-11
         2680.,   5.990E-11
         2682.,   6.253E-11
         2685.,   6.273E-11
         2687.,   6.192E-11
         2690.,   6.088E-11
         2692.,   6.040E-11
         2695.,   5.928E-11
         2698.,   5.943E-11
         2700.,   6.100E-11
         2702.,   6.284E-11
         2705.,   6.544E-11
         2707.,   6.803E-11
         2710.,   6.890E-11
         2713.,   6.785E-11
         2715.,   6.541E-11
         2718.,   6.102E-11
         2720.,   5.732E-11
         2722.,   5.668E-11
         2725.,   5.847E-11
         2727.,   6.128E-11
         2730.,   6.420E-11
         2732.,   6.531E-11
         2735.,   6.290E-11
         2737.,   5.921E-11
         2740.,   5.541E-11
         2742.,   5.390E-11
         2745.,   5.384E-11
         2747.,   5.624E-11
         2750.,   5.981E-11
         2753.,   6.384E-11
         2755.,   6.792E-11
         2758.,   7.178E-11
         2760.,   7.636E-11
         2762.,   8.027E-11
         2765.,   8.228E-11
         2767.,   8.461E-11
         2770.,   8.650E-11
         2772.,   8.668E-11
         2775.,   8.522E-11
         2778.,   8.337E-11
         2780.,   8.021E-11
         2782.,   7.535E-11
         2785.,   7.042E-11
         2787.,   6.712E-11
         2790.,   6.561E-11
         2793.,   6.463E-11
         2795.,   6.353E-11
         2798.,   6.359E-11
         2800.,   6.460E-11
         2802.,   6.374E-11
         2805.,   6.322E-11
         2807.,   6.488E-11
         2810.,   7.094E-11
         2812.,   7.773E-11
         2815.,   8.461E-11
         2817.,   9.224E-11
         2820.,   1.003E-10
         2823.,   1.036E-10
         2825.,   1.051E-10
         2827.,   1.051E-10
         2830.,   1.045E-10
         2833.,   1.033E-10
         2835.,   1.035E-10
         2838.,   1.018E-10
         2840.,   9.531E-11
         2842.,   8.855E-11
         2845.,   7.756E-11
         2847.,   6.394E-11
         2850.,   5.187E-11
         2852.,   4.806E-11
         2855.,   4.892E-11
         2858.,   5.505E-11
         2860.,   6.678E-11
         2862.,   8.462E-11
         2865.,   9.930E-11
         2867.,   1.105E-10
         2870.,   1.207E-10
         2873.,   1.270E-10
         2875.,   1.225E-10
         2878.,   1.235E-10
         2880.,   1.273E-10
         2883.,   1.338E-10
         2885.,   1.456E-10
         2887.,   1.608E-10
         2890.,   1.797E-10
         2892.,   1.967E-10
         2895.,   2.153E-10
         2898.,   2.375E-10
         2900.,   2.610E-10
         2903.,   2.749E-10
         2905.,   2.833E-10
         2907.,   2.872E-10
         2910.,   2.890E-10
         2913.,   2.904E-10
         2915.,   2.955E-10
         2918.,   2.976E-10
         2920.,   2.921E-10
         2923.,   2.840E-10
         2925.,   2.780E-10
         2927.,   2.779E-10
         2930.,   2.783E-10
         2932.,   2.805E-10
         2935.,   2.811E-10
         2938.,   2.830E-10
         2940.,   2.809E-10
         2942.,   2.707E-10
         2945.,   2.677E-10
         2948.,   2.710E-10
         2950.,   2.823E-10
         2952.,   2.850E-10
         2955.,   2.923E-10
         2958.,   2.957E-10
         2960.,   2.889E-10
         2963.,   2.721E-10
         2965.,   2.454E-10
         2967.,   2.267E-10
         2970.,   2.215E-10
         2972.,   2.331E-10
         2975.,   2.506E-10
         2978.,   2.625E-10
