wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,   3.000E-20
          940.,   9.072E-20
          962.,   1.819E-19
          987.,   3.862E-19
         1012.,   7.545E-19
         1037.,   1.371E-18
         1062.,   2.548E-18
         1087.,   4.534E-18
         1112.,   1.726E-16
         1120.,   2.102E-16
         1140.,   2.986E-16
         1160.,   4.678E-16
         1180.,   6.621E-16
         1200.,   9.085E-16
         1220.,   1.341E-15
         1240.,   2.193E-15
         1260.,   3.289E-15
         1280.,   4.460E-15
         1300.,   6.084E-15
         1320.,   7.977E-15
         1340.,   1.017E-14
         1360.,   1.305E-14
         1380.,   1.694E-14
         1400.,   2.207E-14
         1420.,   2.836E-14
         1440.,   3.638E-14
         1460.,   4.691E-14
         1480.,   5.910E-14
         1500.,   7.588E-14
         1520.,   4.378E-13
         1540.,   7.603E-13
         1560.,   7.811E-13
         1580.,   1.007E-12
         1600.,   1.291E-12
         1620.,   1.555E-12
         1640.,   1.774E-12
         1660.,   1.913E-12
         1680.,   3.305E-11
         1700.,   4.987E-11
         1720.,   6.285E-11
         1740.,   8.513E-11
         1760.,   8.069E-11
         1780.,   1.120E-10
         1800.,   9.874E-11
         1820.,   7.077E-11
         1840.,   7.682E-11
         1860.,   1.068E-10
         1880.,   1.215E-10
         1900.,   1.395E-10
         1920.,   1.650E-10
         1940.,   1.347E-10
         1960.,   1.355E-10
         1980.,   2.068E-10
         2000.,   2.109E-10
         2002.,   2.073E-10
         2005.,   2.037E-10
         2008.,   2.001E-10
         2010.,   1.965E-10
         2012.,   1.929E-10
         2015.,   1.893E-10
         2018.,   1.857E-10
         2020.,   1.821E-10
         2022.,   1.847E-10
         2025.,   1.873E-10
         2027.,   1.899E-10
         2030.,   1.926E-10
         2032.,   1.952E-10
         2035.,   1.978E-10
         2038.,   2.004E-10
         2040.,   2.031E-10
         2042.,   2.020E-10
         2045.,   2.009E-10
         2048.,   1.998E-10
         2050.,   1.987E-10
         2052.,   1.976E-10
         2055.,   1.965E-10
         2058.,   1.954E-10
         2060.,   1.943E-10
         2062.,   1.989E-10
         2065.,   2.035E-10
         2067.,   2.081E-10
         2070.,   2.127E-10
         2072.,   2.173E-10
         2075.,   2.219E-10
         2077.,   2.265E-10
         2080.,   2.311E-10
         2082.,   2.317E-10
         2085.,   2.322E-10
         2088.,   2.327E-10
         2090.,   2.333E-10
         2092.,   2.338E-10
         2095.,   2.343E-10
         2098.,   2.349E-10
         2100.,   2.354E-10
         2102.,   2.370E-10
         2105.,   2.386E-10
         2107.,   2.401E-10
         2110.,   2.417E-10
         2112.,   2.433E-10
         2115.,   2.449E-10
         2118.,   2.464E-10
         2120.,   2.480E-10
         2122.,   2.495E-10
         2125.,   2.509E-10
         2128.,   2.523E-10
         2130.,   2.538E-10
         2133.,   2.552E-10
         2135.,   2.566E-10
         2138.,   2.581E-10
         2140.,   2.595E-10
         2142.,   2.598E-10
         2145.,   2.602E-10
         2147.,   2.605E-10
         2150.,   2.609E-10
         2153.,   2.612E-10
         2155.,   2.615E-10
         2157.,   2.619E-10
         2160.,   2.622E-10
         2162.,   2.649E-10
         2165.,   2.676E-10
         2168.,   2.702E-10
         2170.,   2.729E-10
         2173.,   2.756E-10
         2175.,   2.783E-10
         2177.,   2.809E-10
         2180.,   2.836E-10
         2182.,   2.895E-10
         2185.,   2.953E-10
         2187.,   3.012E-10
         2190.,   3.070E-10
         2193.,   3.129E-10
         2195.,   3.187E-10
         2198.,   3.246E-10
         2200.,   3.304E-10
         2202.,   3.293E-10
         2205.,   3.283E-10
         2208.,   3.272E-10
         2210.,   3.262E-10
         2213.,   3.251E-10
         2215.,   3.240E-10
         2218.,   3.230E-10
         2220.,   3.219E-10
         2222.,   3.221E-10
         2225.,   3.222E-10
         2227.,   3.224E-10
         2230.,   3.225E-10
         2233.,   3.227E-10
         2235.,   3.229E-10
         2237.,   3.230E-10
         2240.,   3.232E-10
         2242.,   3.251E-10
         2245.,   3.271E-10
         2248.,   3.290E-10
         2250.,   3.310E-10
         2253.,   3.329E-10
         2255.,   3.349E-10
         2257.,   3.368E-10
         2260.,   3.388E-10
         2262.,   3.329E-10
         2265.,   3.271E-10
         2267.,   3.213E-10
         2270.,   3.154E-10
         2273.,   3.096E-10
         2275.,   3.038E-10
         2277.,   2.980E-10
         2280.,   2.921E-10
         2282.,   2.967E-10
         2285.,   3.013E-10
         2288.,   3.059E-10
         2290.,   3.105E-10
         2293.,   3.151E-10
         2295.,   3.197E-10
         2298.,   3.243E-10
         2300.,   3.288E-10
         2302.,   3.278E-10
         2305.,   3.268E-10
         2307.,   3.257E-10
         2310.,   3.247E-10
         2313.,   3.236E-10
         2315.,   3.226E-10
         2317.,   3.215E-10
         2320.,   3.205E-10
         2322.,   3.153E-10
         2325.,   3.102E-10
         2327.,   3.051E-10
         2330.,   2.999E-10
         2333.,   2.948E-10
         2335.,   2.896E-10
         2337.,   2.845E-10
         2340.,   2.794E-10
         2342.,   2.737E-10
         2345.,   2.680E-10
         2347.,   2.623E-10
         2350.,   2.566E-10
         2353.,   2.509E-10
         2355.,   2.452E-10
         2357.,   2.395E-10
         2360.,   2.338E-10
         2362.,   2.324E-10
         2365.,   2.310E-10
         2368.,   2.296E-10
         2370.,   2.282E-10
         2373.,   2.267E-10
         2375.,   2.253E-10
         2377.,   2.239E-10
         2380.,   2.225E-10
         2383.,   2.152E-10
         2385.,   2.080E-10
         2387.,   2.007E-10
         2390.,   1.934E-10
         2393.,   1.862E-10
         2395.,   1.789E-10
         2397.,   1.716E-10
         2400.,   1.644E-10
         2403.,   1.734E-10
         2405.,   1.824E-10
         2407.,   1.915E-10
         2410.,   2.005E-10
         2413.,   2.096E-10
         2415.,   2.186E-10
         2417.,   2.276E-10
         2420.,   2.367E-10
         2423.,   2.464E-10
         2425.,   2.562E-10
         2427.,   2.659E-10
         2430.,   2.757E-10
         2433.,   2.854E-10
         2435.,   2.952E-10
         2437.,   3.049E-10
         2440.,   3.147E-10
         2443.,   3.143E-10
         2445.,   3.140E-10
         2448.,   3.137E-10
         2450.,   3.133E-10
         2452.,   3.130E-10
         2455.,   3.126E-10
         2457.,   3.123E-10
         2460.,   3.120E-10
         2463.,   3.111E-10
         2465.,   3.102E-10
         2467.,   3.093E-10
         2470.,   3.084E-10
         2473.,   3.075E-10
         2475.,   3.065E-10
         2477.,   3.056E-10
         2480.,   3.047E-10
         2483.,   3.035E-10
         2485.,   3.023E-10
         2487.,   3.010E-10
         2490.,   2.998E-10
         2493.,   2.985E-10
         2495.,   2.973E-10
         2497.,   2.961E-10
         2500.,   2.948E-10
         2502.,   2.877E-10
         2505.,   2.806E-10
         2507.,   2.735E-10
         2510.,   2.665E-10
         2513.,   2.594E-10
         2515.,   2.523E-10
         2518.,   2.452E-10
         2520.,   2.381E-10
         2522.,   2.328E-10
         2525.,   2.275E-10
         2527.,   2.221E-10
         2530.,   2.168E-10
         2532.,   2.115E-10
         2535.,   2.062E-10
         2538.,   2.009E-10
         2540.,   1.955E-10
         2542.,   2.087E-10
         2545.,   2.218E-10
         2548.,   2.349E-10
         2550.,   2.480E-10
         2552.,   2.611E-10
         2555.,   2.743E-10
         2558.,   2.874E-10
         2560.,   3.005E-10
         2562.,   3.143E-10
         2565.,   3.282E-10
         2567.,   3.420E-10
         2570.,   3.559E-10
         2573.,   3.697E-10
         2575.,   3.836E-10
         2577.,   3.974E-10
         2580.,   4.112E-10
         2582.,   4.138E-10
         2585.,   4.164E-10
         2587.,   4.189E-10
         2590.,   4.215E-10
         2593.,   4.240E-10
         2595.,   4.266E-10
         2598.,   4.292E-10
         2600.,   4.318E-10
         2602.,   4.163E-10
         2605.,   4.009E-10
         2607.,   3.855E-10
         2610.,   3.701E-10
         2612.,   3.547E-10
         2615.,   3.393E-10
         2618.,   3.238E-10
         2620.,   3.084E-10
         2622.,   3.277E-10
         2625.,   3.470E-10
         2627.,   3.663E-10
         2630.,   3.855E-10
         2633.,   4.048E-10
         2635.,   4.241E-10
         2638.,   4.434E-10
         2640.,   4.626E-10
         2642.,   5.089E-10
         2645.,   5.552E-10
         2647.,   6.014E-10
         2650.,   6.477E-10
         2652.,   6.940E-10
         2655.,   7.402E-10
         2657.,   7.865E-10
         2660.,   8.328E-10
         2662.,   8.340E-10
         2665.,   8.352E-10
         2667.,   8.364E-10
         2670.,   8.376E-10
         2673.,   8.389E-10
         2675.,   8.401E-10
         2677.,   8.413E-10
         2680.,   8.425E-10
         2682.,   8.425E-10
         2685.,   8.425E-10
         2687.,   8.425E-10
         2690.,   8.425E-10
         2692.,   8.425E-10
         2695.,   8.425E-10
         2698.,   8.425E-10
         2700.,   8.425E-10
         2702.,   8.425E-10
         2705.,   8.425E-10
         2707.,   8.425E-10
         2710.,   8.425E-10
         2713.,   8.425E-10
         2715.,   8.425E-10
         2718.,   8.425E-10
         2720.,   8.425E-10
         2722.,   8.290E-10
         2725.,   8.155E-10
         2727.,   8.020E-10
         2730.,   7.885E-10
         2732.,   7.751E-10
         2735.,   7.616E-10
         2737.,   7.480E-10
         2740.,   7.346E-10
         2742.,   7.102E-10
         2745.,   6.859E-10
         2747.,   6.615E-10
         2750.,   6.372E-10
         2753.,   6.128E-10
         2755.,   5.885E-10
         2758.,   5.641E-10
         2760.,   5.398E-10
         2762.,   5.641E-10
         2765.,   5.885E-10
         2767.,   6.128E-10
         2770.,   6.372E-10
         2772.,   6.615E-10
         2775.,   6.859E-10
         2778.,   7.102E-10
         2780.,   7.346E-10
         2782.,   6.922E-10
         2785.,   6.499E-10
         2787.,   6.075E-10
         2790.,   5.652E-10
         2793.,   5.228E-10
         2795.,   4.805E-10
         2798.,   4.381E-10
         2800.,   3.958E-10
         2802.,   4.189E-10
         2805.,   4.421E-10
         2807.,   4.652E-10
         2810.,   4.883E-10
         2812.,   5.114E-10
         2815.,   5.346E-10
         2817.,   5.577E-10
         2820.,   5.809E-10
         2823.,   6.278E-10
         2825.,   6.747E-10
         2827.,   7.216E-10
         2830.,   7.685E-10
         2833.,   8.154E-10
         2835.,   8.623E-10
         2838.,   9.092E-10
         2840.,   9.561E-10
         2842.,   9.464E-10
         2845.,   9.367E-10
         2847.,   9.270E-10
         2850.,   9.173E-10
         2852.,   9.076E-10
         2855.,   8.979E-10
         2858.,   8.882E-10
         2860.,   8.785E-10
         2862.,   9.036E-10
         2865.,   9.287E-10
         2867.,   9.539E-10
         2870.,   9.790E-10
         2873.,    1.004E-9
         2875.,    1.029E-9
         2878.,    1.054E-9
         2880.,    1.079E-9
         2883.,    1.119E-9
         2885.,    1.159E-9
         2887.,    1.199E-9
         2890.,    1.239E-9
         2892.,    1.278E-9
         2895.,    1.318E-9
         2898.,    1.358E-9
         2900.,    1.398E-9
         2903.,    1.419E-9
         2905.,    1.440E-9
         2907.,    1.461E-9
         2910.,    1.483E-9
         2913.,    1.504E-9
         2915.,    1.525E-9
         2918.,    1.547E-9
         2920.,    1.568E-9
         2923.,    1.563E-9
         2925.,    1.559E-9
         2927.,    1.554E-9
         2930.,    1.550E-9
         2932.,    1.545E-9
         2935.,    1.541E-9
