wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,          0.
          940.,          0.
          962.,          0.
          987.,          0.
         1012.,          0.
         1037.,          0.
         1062.,          0.
         1087.,          0.
         1112.,          0.
         1120.,          0.
         1140.,          0.
         1160.,          0.
         1180.,          0.
         1200.,          0.
         1220.,          0.
         1240.,          0.
         1260.,          0.
         1280.,          0.
         1300.,          0.
         1320.,          0.
         1340.,          0.
         1360.,          0.
         1380.,          0.
         1400.,          0.
         1420.,          0.
         1440.,          0.
         1460.,          0.
         1480.,          0.
         1500.,          0.
         1520.,          0.
         1540.,          0.
         1560.,          0.
         1580.,          0.
         1600.,          0.
         1620.,          0.
         1640.,          0.
         1660.,          0.
         1680.,          0.
         1700.,          0.
         1720.,          0.
         1740.,          0.
         1760.,          0.
         1780.,          0.
         1800.,          0.
         1820.,          0.
         1840.,          0.
         1860.,          0.
         1880.,          0.
         1900.,          0.
         1920.,          0.
         1940.,          0.
         1960.,          0.
         1980.,          0.
         2000.,   3.450E-12
         2002.,   3.450E-12
         2005.,   4.154E-12
         2008.,   3.440E-12
         2010.,   6.134E-12
         2012.,   7.048E-12
         2015.,   6.565E-12
         2018.,   6.216E-12
         2020.,   6.012E-12
         2022.,   3.163E-12
         2025.,   1.207E-12
         2027.,   2.478E-12
         2030.,   3.475E-12
         2032.,   3.375E-12
         2035.,   4.588E-12
         2038.,   6.677E-12
         2040.,   5.762E-12
         2042.,   4.847E-12
         2045.,   4.779E-12
         2048.,   5.246E-12
         2050.,   6.692E-12
         2052.,   7.438E-12
         2055.,   7.913E-12
         2058.,   7.020E-12
         2060.,   5.358E-12
         2062.,   6.048E-12
         2065.,   7.589E-12
         2067.,   1.046E-11
         2070.,   1.192E-11
         2072.,   9.716E-12
         2075.,   8.862E-12
         2077.,   8.845E-12
         2080.,   1.115E-11
         2082.,   1.346E-11
         2085.,   1.427E-11
         2088.,   1.416E-11
         2090.,   1.267E-11
         2092.,   1.184E-11
         2095.,   1.118E-11
         2098.,   1.071E-11
         2100.,   1.017E-11
         2102.,   8.608E-12
         2105.,   7.225E-12
         2107.,   6.076E-12
         2110.,   4.327E-12
         2112.,   1.507E-12
         2115.,   2.765E-12
         2118.,   5.031E-12
         2120.,   5.828E-12
         2122.,   6.733E-12
         2125.,   8.900E-12
         2128.,   1.076E-11
         2130.,   1.229E-11
         2133.,   1.319E-11
         2135.,   1.399E-11
         2138.,   1.454E-11
         2140.,   1.445E-11
         2142.,   1.211E-11
         2145.,   8.712E-12
         2147.,   4.613E-12
         2150.,   2.767E-12
         2153.,   3.000E-12
         2155.,   3.618E-12
         2157.,   3.720E-12
         2160.,   1.951E-12
         2162.,   9.276E-13
         2165.,   3.814E-12
         2168.,   5.093E-12
         2170.,   5.109E-12
         2173.,   4.659E-12
         2175.,   4.190E-12
         2177.,   3.439E-12
         2180.,   2.876E-12
         2182.,   2.892E-12
         2185.,   2.391E-12
         2187.,   1.804E-12
         2190.,   1.216E-12
         2193.,   6.283E-13
         2195.,   1.816E-12
         2198.,   3.004E-12
         2200.,   4.619E-12
         2202.,   5.852E-12
         2205.,   5.760E-12
         2208.,   5.827E-12
         2210.,   5.984E-12
         2213.,   5.001E-12
         2215.,   3.123E-12
         2218.,   3.276E-12
         2220.,   2.887E-12
         2222.,   1.384E-12
         2225.,   1.527E-13
         2227.,   2.290E-13
         2230.,   3.053E-13
         2233.,   3.817E-13
         2235.,   4.580E-13
         2237.,   5.343E-13
         2240.,   5.875E-13
         2242.,   1.841E-12
         2245.,   4.896E-12
         2248.,   6.387E-12
         2250.,   7.270E-12
         2253.,   8.413E-12
         2255.,   9.749E-12
         2257.,   1.219E-11
         2260.,   1.303E-11
         2262.,   1.182E-11
         2265.,   1.083E-11
         2267.,   1.022E-11
         2270.,   1.056E-11
         2273.,   1.124E-11
         2275.,   1.206E-11
         2277.,   1.275E-11
         2280.,   1.195E-11
         2282.,   1.076E-11
         2285.,   9.150E-12
         2288.,   7.149E-12
         2290.,   5.095E-12
         2293.,   4.333E-12
         2295.,   3.814E-12
         2298.,   2.714E-12
         2300.,   2.213E-12
         2302.,   2.265E-12
         2305.,   2.610E-12
         2307.,   3.327E-12
         2310.,   3.317E-12
         2313.,   3.355E-12
         2315.,   3.988E-12
         2317.,   4.772E-12
         2320.,   6.352E-12
         2322.,   9.108E-12
         2325.,   1.279E-11
         2327.,   1.483E-11
         2330.,   1.680E-11
         2333.,   1.837E-11
         2335.,   1.908E-11
         2337.,   1.773E-11
         2340.,   1.654E-11
         2342.,   1.545E-11
         2345.,   1.294E-11
         2347.,   9.117E-12
         2350.,   6.901E-12
         2353.,   5.600E-12
         2355.,   5.945E-12
         2357.,   6.995E-12
         2360.,   1.027E-11
         2362.,   1.154E-11
         2365.,   1.175E-11
         2368.,   1.399E-11
         2370.,   1.624E-11
         2373.,   1.568E-11
         2375.,   1.632E-11
         2377.,   1.928E-11
         2380.,   1.876E-11
         2383.,   1.713E-11
         2385.,   1.606E-11
         2387.,   1.537E-11
         2390.,   1.534E-11
         2393.,   1.530E-11
         2395.,   1.549E-11
         2397.,   1.407E-11
         2400.,   9.183E-12
         2403.,   8.126E-12
         2405.,   8.559E-12
         2407.,   5.581E-12
         2410.,   9.383E-13
         2413.,   2.423E-12
         2415.,   4.150E-12
         2417.,   6.185E-12
         2420.,   9.067E-12
         2423.,   1.345E-11
         2425.,   1.478E-11
         2427.,   1.512E-11
         2430.,   1.531E-11
         2433.,   1.549E-11
         2435.,   1.206E-11
         2437.,   9.335E-12
         2440.,   7.683E-12
         2443.,   8.479E-12
         2445.,   9.887E-12
         2448.,   1.180E-11
         2450.,   1.372E-11
         2452.,   1.431E-11
         2455.,   1.536E-11
         2457.,   1.684E-11
         2460.,   1.823E-11
         2463.,   1.952E-11
         2465.,   2.069E-11
         2467.,   2.094E-11
         2470.,   1.839E-11
         2473.,   1.641E-11
         2475.,   1.747E-11
         2477.,   1.794E-11
         2480.,   1.778E-11
         2483.,   1.928E-11
         2485.,   2.100E-11
         2487.,   1.693E-11
         2490.,   1.296E-11
         2493.,   1.517E-11
         2495.,   1.510E-11
         2497.,   1.352E-11
         2500.,   1.378E-11
         2502.,   1.573E-11
         2505.,   1.574E-11
         2507.,   1.598E-11
         2510.,   1.708E-11
         2513.,   1.793E-11
         2515.,   1.803E-11
         2518.,   1.623E-11
         2520.,   1.337E-11
         2522.,   1.230E-11
         2525.,   1.130E-11
         2527.,   1.372E-11
         2530.,   1.683E-11
         2532.,   2.051E-11
         2535.,   2.273E-11
         2538.,   2.427E-11
         2540.,   2.465E-11
         2542.,   2.427E-11
         2545.,   2.542E-11
         2548.,   2.596E-11
         2550.,   2.558E-11
         2552.,   2.499E-11
         2555.,   2.399E-11
         2558.,   2.361E-11
         2560.,   2.367E-11
         2562.,   2.508E-11
         2565.,   2.648E-11
         2567.,   2.799E-11
         2570.,   2.853E-11
         2573.,   2.737E-11
         2575.,   2.356E-11
         2577.,   1.891E-11
         2580.,   1.549E-11
         2582.,   1.285E-11
         2585.,   1.248E-11
         2587.,   1.428E-11
         2590.,   1.844E-11
         2593.,   2.120E-11
         2595.,   2.188E-11
         2598.,   2.146E-11
         2600.,   2.076E-11
         2602.,   1.839E-11
         2605.,   1.350E-11
         2607.,   1.455E-11
         2610.,   1.708E-11
         2612.,   2.065E-11
         2615.,   2.514E-11
         2618.,   3.336E-11
         2620.,   3.737E-11
         2622.,   3.749E-11
         2625.,   3.388E-11
         2627.,   2.551E-11
         2630.,   2.689E-11
         2633.,   3.114E-11
         2635.,   3.856E-11
         2638.,   4.761E-11
         2640.,   6.515E-11
         2642.,   6.803E-11
         2645.,   5.940E-11
         2647.,   5.660E-11
         2650.,   5.460E-11
         2652.,   4.947E-11
         2655.,   4.671E-11
         2657.,   5.655E-11
         2660.,   6.009E-11
         2662.,   5.942E-11
         2665.,   5.949E-11
         2667.,   6.024E-11
         2670.,   5.893E-11
         2673.,   5.743E-11
         2675.,   5.997E-11
         2677.,   6.079E-11
         2680.,   5.367E-11
         2682.,   5.464E-11
         2685.,   6.015E-11
         2687.,   5.982E-11
         2690.,   5.491E-11
         2692.,   6.502E-11
         2695.,   7.068E-11
         2698.,   6.326E-11
         2700.,   5.625E-11
         2702.,   5.087E-11
         2705.,   5.045E-11
         2707.,   5.333E-11
         2710.,   5.591E-11
         2713.,   5.849E-11
         2715.,   6.365E-11
         2718.,   6.178E-11
         2720.,   4.448E-11
         2722.,   4.020E-11
         2725.,   4.097E-11
         2727.,   4.232E-11
         2730.,   4.433E-11
         2732.,   5.470E-11
         2735.,   5.941E-11
         2737.,   5.690E-11
         2740.,   5.557E-11
         2742.,   5.634E-11
         2745.,   5.586E-11
         2747.,   5.509E-11
         2750.,   5.769E-11
         2753.,   6.028E-11
         2755.,   6.956E-11
         2758.,   7.586E-11
         2760.,   7.772E-11
         2762.,   7.820E-11
         2765.,   7.833E-11
         2767.,   8.001E-11
         2770.,   8.228E-11
         2772.,   8.447E-11
         2775.,   8.785E-11
         2778.,   9.234E-11
         2780.,   8.961E-11
         2782.,   7.772E-11
         2785.,   7.882E-11
         2787.,   8.908E-11
         2790.,   1.345E-10
         2793.,   1.818E-10
         2795.,   2.515E-10
         2798.,   3.208E-10
         2800.,   3.896E-10
         2802.,   3.637E-10
         2805.,   3.250E-10
         2807.,   2.598E-10
         2810.,   1.885E-10
         2812.,   1.195E-10
         2815.,   8.406E-11
         2817.,   7.096E-11
         2820.,   6.984E-11
         2823.,   7.976E-11
         2825.,   8.027E-11
         2827.,   8.108E-11
         2830.,   8.425E-11
         2833.,   8.585E-11
         2835.,   8.248E-11
         2838.,   8.335E-11
         2840.,   8.757E-11
         2842.,   9.452E-11
         2845.,   1.016E-10
         2847.,   1.046E-10
         2850.,   1.081E-10
         2852.,   1.147E-10
         2855.,   1.132E-10
         2858.,   1.078E-10
         2860.,   1.060E-10
         2862.,   1.066E-10
         2865.,   1.070E-10
         2867.,   1.080E-10
         2870.,   1.099E-10
         2873.,   1.154E-10
         2875.,   1.283E-10
         2878.,   1.249E-10
         2880.,   1.152E-10
         2883.,   1.123E-10
         2885.,   1.132E-10
         2887.,   1.066E-10
         2890.,   1.037E-10
         2892.,   1.081E-10
         2895.,   1.132E-10
         2898.,   1.199E-10
         2900.,   1.176E-10
         2903.,   1.117E-10
         2905.,   1.152E-10
         2907.,   1.187E-10
         2910.,   1.287E-10
         2913.,   1.400E-10
         2915.,   1.531E-10
         2918.,   1.588E-10
         2920.,   1.627E-10
         2923.,   1.565E-10
         2925.,   1.488E-10
         2927.,   1.579E-10
         2930.,   1.652E-10
         2932.,   1.703E-10
         2935.,   1.777E-10
         2938.,   1.890E-10
         2940.,   1.716E-10
         2942.,   1.469E-10
         2945.,   1.315E-10
         2948.,   1.163E-10
         2950.,   1.038E-10
         2952.,   1.095E-10
         2955.,   1.351E-10
         2958.,   1.398E-10
         2960.,   1.417E-10
         2963.,   1.382E-10
         2965.,   1.296E-10
         2967.,   1.062E-10
         2970.,   1.006E-10
         2972.,   1.069E-10
         2975.,   1.102E-10
         2978.,   1.107E-10
