wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,   3.570E-21
          940.,   1.206E-20
          962.,   2.568E-20
          987.,   5.760E-20
         1012.,   1.172E-19
         1037.,   2.206E-19
         1062.,   4.271E-19
         1087.,   7.948E-19
         1112.,   1.301E-17
         1120.,   1.601E-17
         1140.,   2.317E-17
         1160.,   3.662E-17
         1180.,   5.287E-17
         1200.,   7.432E-17
         1220.,   1.099E-16
         1240.,   1.675E-16
         1260.,   2.406E-16
         1280.,   3.295E-16
         1300.,   4.559E-16
         1320.,   6.053E-16
         1340.,   7.807E-16
         1360.,   1.014E-15
         1380.,   1.339E-15
         1400.,   1.765E-15
         1420.,   2.298E-15
         1440.,   2.988E-15
         1460.,   3.893E-15
         1480.,   4.975E-15
         1500.,   6.451E-15
         1520.,   5.248E-14
         1540.,   9.434E-14
         1560.,   9.816E-14
         1580.,   1.256E-13
         1600.,   1.627E-13
         1620.,   1.998E-13
         1640.,   2.326E-13
         1660.,   2.545E-13
         1680.,   3.273E-12
         1700.,   4.990E-12
         1720.,   6.230E-12
         1740.,   8.211E-12
         1760.,   8.091E-12
         1780.,   1.121E-11
         1800.,   1.062E-11
         1820.,   8.626E-12
         1840.,   8.981E-12
         1860.,   1.156E-11
         1880.,   1.332E-11
         1900.,   1.555E-11
         1920.,   1.859E-11
         1940.,   1.649E-11
         1960.,   1.665E-11
         1980.,   2.353E-11
         2000.,   2.471E-11
         2002.,   2.609E-11
         2005.,   3.238E-11
         2008.,   3.458E-11
         2010.,   3.573E-11
         2012.,   3.602E-11
         2015.,   3.616E-11
         2018.,   3.556E-11
         2020.,   3.536E-11
         2022.,   3.545E-11
         2025.,   3.544E-11
         2027.,   3.542E-11
         2030.,   3.692E-11
         2032.,   3.924E-11
         2035.,   4.313E-11
         2038.,   4.565E-11
         2040.,   4.728E-11
         2042.,   4.838E-11
         2045.,   4.899E-11
         2048.,   4.994E-11
         2050.,   5.067E-11
         2052.,   5.088E-11
         2055.,   5.090E-11
         2058.,   5.033E-11
         2060.,   5.111E-11
         2062.,   5.272E-11
         2065.,   5.575E-11
         2067.,   5.879E-11
         2070.,   6.011E-11
         2072.,   6.181E-11
         2075.,   6.433E-11
         2077.,   6.762E-11
         2080.,   7.128E-11
         2082.,   7.597E-11
         2085.,   8.134E-11
         2088.,   8.098E-11
         2090.,   8.149E-11
         2092.,   8.332E-11
         2095.,   8.467E-11
         2098.,   8.499E-11
         2100.,   8.532E-11
         2102.,   8.401E-11
         2105.,   9.257E-11
         2107.,   8.948E-11
         2110.,   8.743E-11
         2112.,   9.426E-11
         2115.,   1.043E-10
         2118.,   1.187E-10
         2120.,   1.164E-10
         2122.,   9.234E-11
         2125.,   8.414E-11
         2128.,   9.663E-11
         2130.,   9.988E-11
         2133.,   9.692E-11
         2135.,   9.883E-11
         2138.,   1.038E-10
         2140.,   1.157E-10
         2142.,   1.338E-10
         2145.,   1.354E-10
         2147.,   1.240E-10
         2150.,   1.215E-10
         2153.,   1.252E-10
         2155.,   1.196E-10
         2157.,   1.036E-10
         2160.,   1.062E-10
         2162.,   1.173E-10
         2165.,   1.060E-10
         2168.,   9.502E-11
         2170.,   1.024E-10
         2173.,   1.074E-10
         2175.,   1.037E-10
         2177.,   1.173E-10
         2180.,   1.466E-10
         2182.,   1.548E-10
         2185.,   1.371E-10
         2187.,   1.232E-10
         2190.,   1.317E-10
         2193.,   1.481E-10
         2195.,   1.505E-10
         2198.,   1.483E-10
         2200.,   1.528E-10
         2202.,   1.648E-10
         2205.,   1.591E-10
         2208.,   1.262E-10
         2210.,   1.077E-10
         2213.,   1.168E-10
         2215.,   1.201E-10
         2218.,   1.222E-10
         2220.,   1.446E-10
         2222.,   1.580E-10
         2225.,   1.522E-10
         2227.,   1.508E-10
         2230.,   1.656E-10
         2233.,   1.990E-10
         2235.,   2.167E-10
         2237.,   2.000E-10
         2240.,   1.809E-10
         2242.,   1.671E-10
         2245.,   1.717E-10
         2248.,   1.841E-10
         2250.,   1.753E-10
         2253.,   1.624E-10
         2255.,   1.560E-10
         2257.,   1.520E-10
         2260.,   1.466E-10
         2262.,   1.347E-10
         2265.,   1.170E-10
         2267.,   1.032E-10
         2270.,   1.001E-10
         2273.,   1.066E-10
         2275.,   1.171E-10
         2277.,   1.307E-10
         2280.,   1.519E-10
         2282.,   1.670E-10
         2285.,   1.618E-10
         2288.,   1.475E-10
         2290.,   1.411E-10
         2293.,   1.467E-10
         2295.,   1.480E-10
         2298.,   1.315E-10
         2300.,   1.239E-10
         2302.,   1.415E-10
         2305.,   1.720E-10
         2307.,   1.776E-10
         2310.,   1.427E-10
         2313.,   1.283E-10
         2315.,   1.501E-10
         2317.,   1.551E-10
         2320.,   1.483E-10
         2322.,   1.625E-10
         2325.,   1.616E-10
         2327.,   1.480E-10
         2330.,   1.406E-10
         2333.,   1.340E-10
         2335.,   1.355E-10
         2337.,   1.262E-10
         2340.,   1.196E-10
         2342.,   1.114E-10
         2345.,   9.974E-11
         2347.,   1.117E-10
         2350.,   1.421E-10
         2353.,   1.626E-10
         2355.,   1.658E-10
         2357.,   1.550E-10
         2360.,   1.382E-10
         2362.,   1.362E-10
         2365.,   1.341E-10
         2368.,   1.380E-10
         2370.,   1.565E-10
         2373.,   1.538E-10
         2375.,   1.455E-10
         2377.,   1.421E-10
         2380.,   1.167E-10
         2383.,   1.029E-10
         2385.,   1.187E-10
         2387.,   1.311E-10
         2390.,   1.434E-10
         2393.,   1.438E-10
         2395.,   1.217E-10
         2397.,   1.150E-10
         2400.,   1.267E-10
         2403.,   1.299E-10
         2405.,   1.081E-10
         2407.,   1.151E-10
         2410.,   1.139E-10
         2413.,   1.160E-10
         2415.,   1.424E-10
         2417.,   1.734E-10
         2420.,   1.979E-10
         2423.,   2.021E-10
         2425.,   1.959E-10
         2427.,   2.049E-10
         2430.,   1.989E-10
         2433.,   1.868E-10
         2435.,   1.743E-10
         2437.,   1.772E-10
         2440.,   1.864E-10
         2443.,   1.921E-10
         2445.,   1.778E-10
         2448.,   1.579E-10
         2450.,   1.441E-10
         2452.,   1.376E-10
         2455.,   1.401E-10
         2457.,   1.455E-10
         2460.,   1.389E-10
         2463.,   1.296E-10
         2465.,   1.397E-10
         2467.,   1.531E-10
         2470.,   1.577E-10
         2473.,   1.572E-10
         2475.,   1.653E-10
         2477.,   1.564E-10
         2480.,   1.444E-10
         2483.,   1.290E-10
         2485.,   1.261E-10
         2487.,   1.214E-10
         2490.,   1.064E-10
         2493.,   1.385E-10
         2495.,   1.781E-10
         2497.,   1.848E-10
         2500.,   1.746E-10
         2502.,   1.707E-10
         2505.,   1.563E-10
         2507.,   1.521E-10
         2510.,   1.590E-10
         2513.,   1.377E-10
         2515.,   1.147E-10
         2518.,   1.144E-10
         2520.,   1.247E-10
         2522.,   1.192E-10
         2525.,   1.199E-10
         2527.,   1.176E-10
         2530.,   1.288E-10
         2532.,   1.508E-10
         2535.,   1.517E-10
         2538.,   1.520E-10
         2540.,   1.581E-10
         2542.,   1.667E-10
         2545.,   1.705E-10
         2548.,   1.601E-10
         2550.,   1.782E-10
         2552.,   2.244E-10
         2555.,   2.352E-10
         2558.,   2.381E-10
         2560.,   2.503E-10
         2562.,   2.295E-10
         2565.,   2.573E-10
         2567.,   3.201E-10
         2570.,   3.572E-10
         2573.,   3.606E-10
         2575.,   2.937E-10
         2577.,   3.074E-10
         2580.,   4.099E-10
         2582.,   3.869E-10
         2585.,   2.802E-10
         2587.,   3.164E-10
         2590.,   3.916E-10
         2593.,   3.254E-10
         2595.,   2.834E-10
         2598.,   2.245E-10
         2600.,   2.070E-10
         2602.,   2.810E-10
         2605.,   2.546E-10
         2607.,   2.230E-10
         2610.,   2.357E-10
         2612.,   2.067E-10
         2615.,   2.445E-10
         2618.,   2.846E-10
         2620.,   3.064E-10
         2622.,   3.244E-10
         2625.,   3.058E-10
         2627.,   2.640E-10
         2630.,   2.364E-10
         2633.,   2.772E-10
         2635.,   4.116E-10
         2638.,   5.674E-10
         2640.,   6.682E-10
         2642.,   7.188E-10
         2645.,   7.257E-10
         2647.,   6.007E-10
         2650.,   5.405E-10
         2652.,   6.327E-10
         2655.,   7.350E-10
         2657.,   7.280E-10
         2660.,   6.758E-10
         2662.,   6.219E-10
         2665.,   6.246E-10
         2667.,   6.355E-10
         2670.,   6.337E-10
         2673.,   6.385E-10
         2675.,   7.074E-10
         2677.,   6.484E-10
         2680.,   6.253E-10
         2682.,   6.424E-10
         2685.,   6.492E-10
         2687.,   6.194E-10
         2690.,   5.873E-10
         2692.,   6.192E-10
         2695.,   5.820E-10
         2698.,   6.079E-10
         2700.,   7.032E-10
         2702.,   7.384E-10
         2705.,   7.380E-10
         2707.,   6.811E-10
         2710.,   6.557E-10
         2713.,   6.503E-10
         2715.,   5.890E-10
         2718.,   4.829E-10
         2720.,   4.011E-10
         2722.,   4.558E-10
         2725.,   4.986E-10
         2727.,   5.901E-10
         2730.,   6.667E-10
         2732.,   5.817E-10
         2735.,   4.792E-10
         2737.,   4.032E-10
         2740.,   3.538E-10
         2742.,   3.292E-10
         2745.,   3.380E-10
         2747.,   3.242E-10
         2750.,   3.717E-10
         2753.,   4.570E-10
         2755.,   4.205E-10
         2758.,   5.386E-10
         2760.,   6.269E-10
         2762.,   6.107E-10
         2765.,   6.565E-10
         2767.,   6.226E-10
         2770.,   6.195E-10
         2772.,   6.591E-10
         2775.,   6.201E-10
         2778.,   5.123E-10
         2780.,   4.392E-10
         2782.,   4.267E-10
         2785.,   4.298E-10
         2787.,   3.834E-10
         2790.,   2.946E-10
         2793.,   2.315E-10
         2795.,   2.058E-10
         2798.,   1.927E-10
         2800.,   1.991E-10
         2802.,   2.112E-10
         2805.,   2.445E-10
         2807.,   3.353E-10
         2810.,   4.134E-10
         2812.,   4.859E-10
         2815.,   5.737E-10
         2817.,   6.292E-10
         2820.,   6.846E-10
         2823.,   7.283E-10
         2825.,   7.481E-10
         2827.,   7.502E-10
         2830.,   8.175E-10
         2833.,   8.281E-10
         2835.,   7.703E-10
         2838.,   7.719E-10
         2840.,   8.028E-10
         2842.,   7.190E-10
         2845.,   6.268E-10
         2847.,   4.668E-10
         2850.,   2.755E-10
         2852.,   2.337E-10
         2855.,   3.608E-10
         2858.,   5.548E-10
         2860.,   7.524E-10
         2862.,   8.441E-10
         2865.,   8.713E-10
         2867.,   8.247E-10
         2870.,   8.748E-10
         2873.,   9.714E-10
         2875.,   8.922E-10
         2878.,   7.848E-10
         2880.,   5.575E-10
         2883.,   5.958E-10
         2885.,   8.963E-10
         2887.,   9.891E-10
         2890.,   9.863E-10
         2892.,    1.020E-9
         2895.,    1.152E-9
         2898.,    1.306E-9
         2900.,    1.443E-9
         2903.,    1.513E-9
         2905.,    1.506E-9
         2907.,    1.406E-9
         2910.,    1.414E-9
         2913.,    1.469E-9
         2915.,    1.364E-9
         2918.,    1.329E-9
         2920.,    1.354E-9
         2923.,    1.253E-9
         2925.,    1.136E-9
         2927.,    1.161E-9
         2930.,    1.380E-9
         2932.,    1.486E-9
         2935.,    1.326E-9
